Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free
Vita Coco Coconut Water,,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ffa87fcf-97c8-4455-9d44-875708e008f8.png 4x,Gluten Free,,"Full of nutrients, electrolytes, and vitamins that give you a boost, which makes it great for a lot of situations, like when you're thirsty and, well... mostly when you're thirsty.","Coconut Water, Less Than 1% Sugar, Vitamin C","Perfect for: Past-workouts, hangovers, afternoon boosts, smoothies, and the general human tendency to get thirsty.,Chill it, don't spill it.,Once opened, keep refrigerated and consume within 24 hours.",,
Capri Sun Fruit Punch Naturally Flavored Kids Juice Blend Drink Pouches,$4.39,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_201a8b75-7ac3-4e68-9bfb-69cb4a43ef99.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19289e9a-a7dc-46b2-b9c9-74301436e888.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d432dd92-81db-4f33-ae05-dabe54aafa54.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6d486f0e-e139-46d6-8533-7dca07a81049.jpg 4x",,,"Grab a little juicy freedom with Capri Sun Fruit Punch Flavored with other natural flavor Juice Drink Blend. Kids will love the taste of our Capri Sun, made with a new and improved formula. Made with the all-natural sweetener, monk fruit, our Fruit Punch juice drink blend has the lush, sweet flavors of apples, pineapples and oranges that are joyfully refreshing. We never add artificial flavors, colors, preservatives or high-fructose corn syrup to our pouches. Each 6 fluid ounce pouch in our 10 count box comes with a straw, so they're ready for kids to squeeze and sip. Unleash kids' independence with a ready-to-drink Capri Sun.,• One box of Capri Sun Fruit Punch Flavored with other natural flavor Juice Drink Blend, (10 ct Box, 6 fl oz Pouches),• Capri Sun Naturally Flavored Fruit Punch Juice Drink is a kids juice that delivers fun refreshment with all natural ingredients,• Our ready-to-drink juice pouches are a convenient way for kids to hydrate,• A blast of fruit flavor from natural ingredients gives our kids drinks an extra refreshing taste,• Packaged in a convenient and iconic pouch for school lunches and on-the-go activities,• Quench your thirst with our delicious ready-to-drink juice blend,• SNAP & EBT eligible food item","Filtered Water, Sugar, Pear Grape And Orange Juice Concentrates, Citric Acid, Monk Fruit Concentrate, Apple And Pineapple Juice Concentrates, Natural Flavor, Mushroom Extract (to Protect Quality)",Insert straw into pouch.,"Do not drink if pouch is leaking, damaged, or swollen as fermentation can occur.",
Mott's 100% Original Apple Juice,$3.49,$6.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ed8f0bba-ff18-411f-a893-d513daeba22c.jpeg 4x,Gluten Free,,"Nothing satisfies quite like Mott’s Original Apple Juice. Packed with ripe apple flavor, Mott’s Original Apple Juice is 100% fruit juice and delivers 2 servings of fruit in each 8 fl. oz cup, per current USDA Dietary Guidelines. It’s also an excellent source of Vitamin C, contains no added sugar and has a delicious taste the whole family will love. Mott’s Original Apple Juice is the perfect refreshment at dinnertime, lunchtime, or any time. Apples have always nourished us, inspired us, and provided for us. Mott's provides the nutrition and taste of real fruit that families have trusted since 1842, when our founder - Samuel R. Mott's - began growing and packaging apples in New York. In the years since then, Mott’s commitment to apple excellence and high-quality products has continued to provide healthy, delicious juices and snacks. Treat your family to the classic taste of Mott’s Original Apple Juice.","Water, Apple Juice Concentrate, Ascorbic Acid (vitamin C).",Refrigerate after opening.,,
good2grow 100% Apple Juice Character Tops Vary,,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48ef3bc0-2cf2-4a0f-a0b6-0c762e36208a.jpeg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9aad5e0c-4448-48c3-89d3-f394eb3aefb3.png 4x",,,"100% apple juice from concentrate with added natural flavors and other ingredients. No artificial flavors. 80 calories per bottle. No sugar added. Excellent source of Vitamin C. Not a reduced calorie food. See nutrition facts for sugar and calorie content. Non GMO. Grow your top collection! Spill proof spout. Play games. Win prizes. No artificial colors. No artificial preservatives. good2collect.com. Facebook. Instagram. 1-877-875-8443, 8am-4pm est, quality(at)good2grow.com. BPA free. Bottled in USA with concentrate origin in USA, Argentina, Chile, China, Turkey, Ukraine, Poland and/or Germany.","Water, Concentrated Apple Juices, Natural Flavors, Ascorbic Acid (vitamin C)","Shake well.,Refrigerate after opening.,Twist to open.,Best if used by date on bottle.",Please remove inner foil seal before use. Do not consume if punctured or leaking. Rinse cap before use.,
Mott's 100% Original Apple Juice,,$5.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ccd18cd2-c6d8-4787-8ac6-99ea842cfd66.jpeg 4x,Gluten Free,,"Nothing satisfies quite like Mott’s Original Apple Juice. Packed with ripe apple flavor, Mott’s Original Apple Juice is 100% fruit juice and delivers 2 servings of fruit in each 8 fl. oz cup, per current USDA Dietary Guidelines. It’s also an excellent source of Vitamin C, contains no added sugar and has a delicious taste the whole family will love. Mott’s Original Apple Juice is the perfect refreshment at dinnertime, lunchtime, or any time. Apples have always nourished us, inspired us, and provided for us. Mott's provides the nutrition and taste of real fruit that families have trusted since 1842, when our founder - Samuel R. Mott's - began growing and packaging apples in New York. In the years since then, Mott’s commitment to apple excellence and high-quality products has continued to provide healthy, delicious juices and snacks. Treat your family to the classic taste of Mott’s Original Apple Juice.","Water, Apple Juice Concentrate, Ascorbic Acid (vitamin C)",Refrigerate after opening.,,
Vita Coco Pure Coconut Water,,$5.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16080318-0a1e-49c8-bce3-100dbb8727a2.png 4x,Gluten Free,,"Full of nutrients, electrolytes, and vitamins that give you a boost, which makes it great for a lot of situations, like when you're thirsty and, well... mostly when you're thirsty.","Coconut Water, Less Than 1% Sugar, Vitamin C (ascorbic Acid).","Chill it. Don't spill it.,Perfect for: Past-workouts, hangovers, afternoon boosts, smoothies and the general human tendency to get thirsty.,Once opened, keep refrigerated and consume within 72 hours.",,
good2grow 100% Fruit Punch Juice Character Tops Vary,,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef3a2148-2295-4c0b-80e0-feb75ac1886c.jpeg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cac1c44b-8915-49aa-8946-e75c39b29017.png 4x",,,"good2grow’s 6oz 100% Fruit Punch Juice provides kids with an excellent source of Vitamin C and has no sugar added. good2grow offers hundreds of collectable character tops that come with a spill proof valve to prevent leaks.,• Excellent Source of Vitamin C,• No Sugar Added,• Spill Proof Top,• Non GMO","Water, Concentrated Apple, Pear And Grape Juices, Citric Acid, Ascorbic Acid (vitamin C), Natural Flavor","Shake well.,Refrigerate after opening.,Twist to open.,Best if used by date on bottle.","Please remove inner foil seal before use. Do not consume if punctured or leaking, Rinse cap before use.",
Simply Lemonade,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4da38261-8224-4e18-84e7-93e7c33ee5e2.png 4x,,,"When you think of lemonade, your mind is immediately filled with images of fresh lemons, simple ingredients, cold glass pitchers, lemonade stands and hot summer days. And it’s easy to imagine why. Nothing can beat the taste of fresh lemonade.,Which is why we made Simply Lemonade—so you can have that same perfect experience without the work. It’s the feeling you know and love that classic lemonade brings, captured and bottled perfectly. Made with real lemon juice and other all-natural ingredients, it’s everything you love about lemonade—minus the inconvenience of having to make it yourself.,And while that homemade lemonade taste is no doubt both delicious and nostalgic, Simply Lemonade also comes in Blueberry, Raspberry and Strawberry flavors for when you need to satisfy a different kind of taste. Perfect and unapologetic blends of sweet and sour means you’ll never get tired of the all-natural drink that’s truly been tried and tested.,With Simply Lemonade, the difference is clear. Clear enough that you can see the all-natural ingredients inside. Because with Simply, there’s nothing to hide.,• Made with real lemon juice,• No added colors or artificial flavors,• Classic, fresh homemade lemonade taste,• All-natural, Non-GMO Project Verified — Ingredients in this beverage are not genetically engineered,• With Simply, you always have a “Fresh Taste Guarantee”","Pure Filtered Water, Lemon Juice, Cane Sugar, Natural Flavors","Shake well.,Keep refrigerated.,Best if used within 7-10 days after opening.",Do not reuse.,
Simply Orange Pulp Free Orange Juice,,$2.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_77daecf3-5d9a-4bc5-963e-e60b3b069162.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_52f1c067-b450-4281-b9e1-5c5df4c1c928.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f8b5c3a5-e3d3-4a72-93fc-74deaf6d293d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4b163a58-0e71-4789-a7f6-fc1e4fe259c8.jpg 4x",,,"For Simply Orange Pulp Free, we carefully select real, ripe oranges and turn them into a deliciously simple pulp-free orange juice. Not from concentrate for a deliciously fresh-squeezed taste.,Simple ingredients and the Simply “Fresh Taste Guarantee” make for a refreshing non-GMO orange juice you can enjoy with breakfast, lunch or any time in between. Simply Orange is 100% pure-squeezed pasteurized orange juice—everything you love with the addition of calcium and vitamin D alongside the naturally occurring vitamin C.,Simply products start with great-tasting fruit and end with great-tasting fruit juices, fruit drinks and fruit smoothies. That’s because we believe the best things in life are made simply. And we hold everything—from Simply Fruit Punch to Simply Lemonade—to the same high standard with our “Fresh Taste Guarantee.” Whatever juice you’re looking for, the choice is simple.,With Simply Orange Pulp Free, the difference is clear. Because with Simply, there’s nothing to hide.,• Pure-squeezed and pasteurized — We never use concentrated orange juice,• Pulp-free orange juice,• Non-GMO Project Verified — Ingredients in this beverage are not genetically engineered,• With Simply, you always have a “Fresh Taste Guarantee”",100% Orange Juice,"Shake well.,Keep refrigerated.,Best if used within 7-10 days after opening.",,
Ocean Spray Diet Cranberry Juice Drink,,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb032655-6987-49a9-92df-283c03942336.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d1d9d347-716a-4bb4-8add-859d71969976.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e07ba1d0-1c60-4aca-af39-1b488d0727e2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8613429e-a790-4e67-9b45-9b5c0575a30d.jpg 4x",,,"The bold cranberry taste you crave with only 5 little calories. Try Ocean Spray® Diet Cranberry Juice Drink. Full flavor. Full of possibilities. If we can make diet drinks taste this good, you cran do anything. Featuring the crisp, clean taste of the juice of real cranberries straight from the bog. A radically refreshing beverage. Only 5 calories, 1g of sugar and 2g of carbs in each 8 fl oz serving. An excellent source of vitamin C. This diet cranberry juice drink is made from real fruit juice. It’s a full punch of flavor without compromise. Use this cranberry juice drink as a cocktail mixer for your favorite cocktails or mocktails. Add a tart twist to recipes. Or keep it simple on the rocks with a splash of tonic for a refreshing take on a diet drink. Meet your new favorite addition to any recipe, without the extra calories. All this made possible by the 700+ cranberry farming families that make up our co-op. Our owners. Our heartbeat. Our inspiration. Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™,• One (1) 64 fl oz bottle of Ocean Spray® Diet Cranberry Juice Drink,• Enjoy the crisp, refreshing taste of cranberries with just 5 calories and 1g of sugar per serving, for a beverage without compromise,• Made from real fruit juice, this diet juice beverage is an excellent source of vitamin C and a delicious burst of flavor,• Try this diet cranberry juice drink as a cocktail mixer or add a splash of soda water to create refreshing juice drinks and mocktail beverages,• Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™","Filtered Water, Cranberry Juice (water, Cranberry Juice Concentrate), Natural Flavor, Pectin, Citric Acid, Fumaric Acid, Ascorbic Acid (vitamin C), Sodium Citrate, Sucralose, Acesulfame Potassium, Red 40.","Must refrigerate after opening.,For best quality and freshness, use within two weeks after opening.",Safety Cap: Purchase this product only if the cap and neckband are intact.,
