Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"You'll love the delicious OLIPOP Cherry Cola Sparkling Tonic! Made with natural ingredients, this refreshing beverage is packed with prebiotics and plant fiber to support your digestive health. With only 2 grams of sugar per can, you can sip guilt-free while you savor the sweet yet tangy blend of cherry and cola. As an added bonus, each can contains 35 milligrams of caffeine to give you a little boost when you need it. So why not give it a try? You can enjoy the fabulous taste of OLIPOP Cherry Cola Sparkling Tonic today with Instacart's same-day delivery or pickup.",Soy Free,"Quench your thirst and support your gut health with wildwonder Guava Rose Sparkling Prebiotic + Probiotic Drink. This bubbly beverage is made with fresh-brewed rose petals, guava puree, lemon juice, and live probiotics to promote healthy digestion. With only 35 calories per 355mL serving, this drink is fat-free, gluten-free, and organic. Plus, it's vegan and vegetarian-friendly! Sip on a refreshing blend of floral and fruity flavors while enjoying the benefits of prebiotic and probiotic ingredients. Order wildwonder Guava Rose Sparkling Prebiotic + Probiotic Drink today through Instacart for same-day delivery or pickup at your convenience.","Looking for a unique and refreshing juice to add to your beverage repertoire? Try Tahiti Trader Company Organic Island Style Noni Juice, a delicious and nutritious addition to any juice collection. Made with organic noni fruit, this juice is packed with vitamins, minerals, and antioxidants that promote overall health. With Instacart's same-day delivery or pickup option, it's easy to enjoy a taste of the tropics from the comfort of your own home. Sip on this island-style concoction and transport yourself to the exotic oasis of Tahiti without ever leaving your living room. Refreshing, organic, and wholesome—Tahiti Trader Company Organic Island Style Noni Juice is the perfect choice for your next beverage craving.","Craving a daily beverage that's both refreshing and nutritious? Look no further than EPOCA Probiotic Cultured Daily Beverage. Made with filtered water and cultured grade A pasteurized nonfat milk, this low-fat drink contains viable Lactobacillus, Bulgaricus, Streptococcus Thermophilus, Lactobacillus Acidophilus, Lactobacillus Casei, and Bifidus yogurt cultures. With just 35 calories per serving and no fat or cholesterol, it's a guilt-free indulgence that packs a punch of flavor thanks to natural and artificial flavors. Best of all, you can enjoy the benefits of probiotics in every sip. Order EPOCA Probiotic Cultured Daily Beverage today on Instacart for same-day delivery or pickup.",Milk Free
Poppi Strawberry Lemon Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07c3bee2-63dd-441a-b979-26f4fce1f25b.png 4x,Gluten Free,,"For a healthy gut. Be gut happy. Be gut healthy. Prebiotics for a healthy gut. Infused with apple cider vinegar. Immunity sidekick. Pop, cultured. Facts - No one wants a basic drink. So make every hour happy with this bubbly, better for you prebiotic soda that keeps your gut happy and gives your bod a boost. Downright delicious with 5 g sugar or less, these bubbles with benefits will be your new BFF. Take me off for a better recycling.","Sparkling Water, Organic Cane Sugar, Organic Apple Cider Vinegar, Organic Agave Inulin, Natural Flavors, Lemon Juice*, Strawberry Juice*, Stevia, *concentrate",{},,,,,,,
Poppi Orange Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5313a4b0-c986-4327-94e7-45fd8017f035.png 4x,Gluten Free,,"For a healthy gut. Be gut happy. Be gut healthy. Pop, Cultured. Facts - No one wants a basic drink. So make every hour happy with this bubbly, better for you prebiotic soda that keeps your gut happy and gives your bod a boost. Downright delicious with 5 g sugar or less, these bubbles with benefits will be your new BFF. Prebiotics for a healthy gut. Infused with apple cider vinegar. Immunity sidekick. Take me off for better recycling.","Sparkling Filtered Water, Apple Cider Vinegar, Orange Juice, Lemon Juice, Organic Cane Sugar, Natural Flavors, Stevia.",{},,,,,,,
Poppi Raspberry Rose Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e7d50414-3299-4d25-a588-da45ef780341.png 4x,Gluten Free,,"Wanna stay healthy? Listen to your gut. 70% of your body’s immunity begins with your gut, so we made it fun and easy to get the prebiotics your body needs and boost your immunity at the source.,Raspberry kissed by a rose in an ambrosial bouquet of flavor,Bubbles with benefits,Fun(ctional) prebiotic soda for allAids digestion, relieves bloating, boosts immunity, naturally detoxifies, refines complexion, helps stabilize blood sugar, promotes heart health, and helps lower cholesterol.","Sparkling Water, Organic Cane Sugar, Organic Apple Cider Vinegar, Organic Agave Inulin, Raspberry Juice*, Natural Flavors, Lemon Juice*, Stevia, *concentrate",{},,,,,,,
Poppi Strawberry Lemon Prebiotic Soda 4 Pack Case,,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b028ea8c-10a0-497e-8faa-c5d62f5b6405.png 4x,,,,"Sparkling Filtered Water, Organic Apple Cider Vinegar, Organic Cane Sugar, Strawberry Juice*, Lemon Juice*, Natural Flavors, Stevia.",{},,,,,,,
OLIPOP Classic Grape Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d624a236-aeef-470e-86aa-d6d08246a4c6.png 4x,Gluten Free,,"We’re giving grape an upgrade. Made from real concord grape juice with a hint of lime to create the perfect blend of sweet and tart, our Classic Grape is the nostalgic flavor you know and love—all grown up.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Concord Grape Juice Concentrate, Lime Juice, Apple Juice Concentrate, Cassava Root Syrup, Tartaric Acid (From Grapes), Stevia Leaf*, Himalayan Pink Salt, Natural Grape Flavor",Store refrigerated.,,,,,,,
OLIPOP Classic Root Beer Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e32d0df-69b8-44be-9a3f-94979ca3bfbf.png 4x,Gluten Free,,"Finally, a new kind of soda that's delicious, refreshing, and actually good for you. OLIPOP combines the classic soda flavor you know and love with prebiotics, plant fiber, and botanicals to support your microbiome and digestive health.,- High Fiber,- 2-5g of sugar,- Refreshing & delicious flavors,- Plant-based, Gluten-free, Non-GMO, Vegan,- No artificial sweeteners, or preservatives,- A leading research-backed functional beverage designed to taste good while actively supporting your digestive health.,Our old-fashioned Root Beer melds just the right mix of classic bite and creamy sweetness with extracts of sweet birch, smooth vanilla bean, and real burdock root. With 2g of sugar per can, we recommend pairing it with your favorite ice cream.,In store, our sodas are sold the refrigerated beverage section, often near kombucha and other prebiotic and probiotic beverages. In select stores, you can now find OLIPOP at room temperature in the traditional soda aisle and other sections of the store.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Cassava Root Syrup, Apple Juice Concentrate, Natural Root Beer Flavor, Lemon Juice, Burdock Root*, Stevia Leaf*, Himalayan Pink Salt, Natural Vanilla Flavor, Sweet Birch*",Store refrigerated.,,,,,,,
Poppi Raspberry Rose Prebiotic Soda 4 Pack Case,,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_102f331f-9376-4dec-a11d-d5d3f8538788.png 4x,,,,"Sparkling Filtered Water, Organic Apple Cider Vinegar, Organic Cane Sugar, Raspberry Juice*, Lemon Juice*, Natural Flavors, Stevia.",{},,,,,,,
Poppi Cherry Limeade Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fdade179-2d49-4462-9264-bb589cc709aa.png 4x,Gluten Free,,,"Sparkling Water, Organic Cane Sugar, Organic Apple Cider Vinegar, Cherry Juice*, Organic Agave Inulin, Natural Flavors, Lemon Juice*, Lime Juice*, Stevia, *concentrate",{},,,,,,,
OLIPOP Strawberry Vanilla Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5343acab-cb8b-4de7-bcd7-825a01cf43d8.png 4x,Gluten Free,,"Your creamiest, fruitiest strawberry sundae meets bubbly soda. A blend of sweet strawberry juice, rich vanilla, and a dash of tangy lemon create a soda that quenches thirst in the most delightful way.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Strawberry Juice Concentrate, Cassava Root Syrup, Apple Juice Concentrate, Lemon Juice, Stevia Leaf*, Himalayan Pink Salt, Natural Vanilla Flavor, Natural Strawberry Flavor",Store refrigerated.,,,,,,,
Poppi Doc Pop Prebiotic Soda,$2.00,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a97942c7-64d7-454b-9f62-7d1f83a399a1.png 4x,Gluten Free,,,"Sparkling Filtered Water, Organic Cane Sugar, Organic Agave Inulin, Organic Apple Cider Vinegar, Apple Juice*, Natural Flavors, Tartaric Acid, Stevia, Green Tea Extract.",{},,,,,,,
OLIPOP Orange Squeeze Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f2092422-acb9-4c4a-8da4-5419174409c9.png 4x,Gluten Free,,"Our Orange Squeeze reinvents orange soda with a citrusy, vitamin C rich blend of natural ingredients. Clementine and mandarin juices collide with a hint of lemon to produce a bright twist on the nostalgic classic.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Lemon Juice, Apple Juice Concentrate, Mandarin Juice Concentrate, Cassava Root Syrup, Clementine Juice Concentrate, Rose Hip*, Acerola Cherry*, Stevia Leaf*, Himalayan Pink Salt, Orange*",Store refrigerated.,,,,,,,
