Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free
"Starbucks Frappuccino, Mocha",$4.79,$5.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_da5a798c-73e7-4516-923a-fb658dae0600.png 4x,"Enjoy your favorite chilled coffee drink on the go thanks to the Frappuccino Mocha Coffee Drink from Starbucks. Each bottled mocha frappuccino contains a delicious blend of brewed Arabica coffee, reduced-fat milk and chocolaty mocha flavor. The perfect late afternoon pick-me-up, this creamy, cold coffee treat is great straight from the bottle or enjoyed over ice.,• A delicious blend of coffee, milk and rich, chocolaty taste,• Made with the finest arabica coffee beans,• 13.7 oz bottle is perfect for enjoying at home, at work or on-the-go","Brewed Starbucks Coffee (water, Coffee), Reduced-fat Milk, Sugar, Cocoa, Pectin.","Chill, shake, serve.,Serving Suggestion: Shake well. Served chilled or over ice.,Not finished? refrigerate.","Safety button will pop up. If not, reject.",,
"Starbucks Chilled Coffee Dink, Vanilla",$4.79,$5.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bad840c2-c6d4-4e72-8b16-94d73762a9cf.jpeg 4x,"Starbucks coffee drinks offer the bold, delicious taste of coffee with the rich flavors you know and love. This indulgence is proof that you can enjoy a little Starbucks wherever you may be.,• Vanilla,• 13.7 Fluid Ounce (FO)","Brewed Starbucks Coffee (water, Coffee), Reduced-fat Milk, Sugar, Maltodextrin, Pectin, Natural Flavors.",Serving Suggestion: Shake well. Serve chilled or over ice.,Contains milk ingredients.,,
"Starbucks Frappuccino, Caramel",,$4.32, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40af90af-be52-48fd-8fd0-ed64941cd1a4.jpg 4x,"Pop the cap. Savor the sip. Go.Caramel Frappuccino chilled coffee drink is a harmonious blend of Starbucks coffee and creamy milk swirling with carmelly flavor. For a sweet burst of delicious.,• A delicious treat for on the go.","Brewed Starbucks Coffee (water, Coffee), Reduced-fat Milk, Sugar, Maltodextrin, Natural Flavors, Pectin.","Chill, shake, serve.,Serving Suggestion: Shake well, serve chilled or over ice.,Not finished? Refrigerate.",Contains milk ingredients,,
"Starbucks Doubleshot Energy, Mocha",$5.19,$5.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_41de2bed-fcf7-424f-aabc-3c63504a836c.jpeg 4x,"Supports focus (greater than equal to 75 mg caffeine helps support focus. This product contains >75 mg caffeine). B vitamins. Ginseng. Guarana. Nothing delivers like the unmistakably rich taste of bold Starbucks coffee. Add B vitamins, guarana and ginseng and a hit of rich mocha flavor to sweeten the deal. Experience a new burst of flavor. Drink up. Then own the day. Please recycle this can.,• Kosher,• Packaging may vary","Brewed Starbucks Coffee (water, Coffee), Reduced-fat Milk, Skim Milk, Sugar, Maltodextrin, Dextrose, Taurine, Natural Flavors, Cellulose Gel, Panax Ginseng Root Extract, Sodium Ascorbate, Guarana (paullinia Cupana) Seed Extract, Cellulose Gum, Niacinamide, Sucralose, Tricalcium Phosphate, Inositol, Carrageenan, Pyridoxine Hydrochloride (vitamin B6), Riboflavin, Vitamin A Palmitate, Vitamin D3.,taurine 1800mg Panax Ginseng 120mg Guarana 90mg Riboflavin 3.4mg Niacin 38mg Vitamin B6 4mg","Best served chilled or over ice.,Refrigerate after opening.,For best flavor, drink by date on bottom of can.",,,
"Starbucks Doubleshot Energy, Vanilla",$5.19,$5.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ae02169-c635-417d-946a-5955a0648a30.jpeg 4x,"Starbucks coffee drinks offer the bold, delicious taste of coffee with the rich flavors you know and love. This indulgence is proof that you can enjoy a little Starbucks wherever you may be.,• Vanilla,• 15 Fluid Ounce (FO),• Packaging may vary","Brewed Starbucks Coffee (water, Coffee), Reduced-fat Milk, Skim Milk, Sugar, Maltodextrin, Dextrose, Taurine, Cellulose Gel, Natural Flavor, Panax Ginseng Root Extract, Sodium Ascorbate, Guarana (paullinia Cupana) Seed Extract, Cellulose Gum, Niacinamide, Sucralose, Tricalcium Phosphate, Inositol, Carrageenan, Pyridoxine Hydrochloride (vitamin B6), Riboflavin, Vitamin A Palmitate, Vitamin D3.",Best served chilled or over ice.,Contains milk ingredients,,
Monster Energy Java Monster Loca Moca,$3.69,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07113db7-bcdc-4a6a-83f7-d90ac6380b48.png 4x,"No foam, extra hot, half-caf, no-whip, soy latte…Enough of the coffeehouse BS already! It’s time to get out of the line and step up to what’s next. Java Monster… Premium coffee and cream brewed up with killer flavor, supercharged with Monster energy blend. Coffee done the Monster way, wide open, with a take no prisoners attitude and the experience and know-how to back it up. Java Monster… premium coffee and cream brewed up with killer flavor, supercharged with Monster energy blend.","Brewed Coffee (filtered Water, Coffee), Condensed Skim Milk, Sugar, Heavy Cream, Glucose, Natural Flavors, Taurine, Sodium Citrate, Microcrystalline Cellulose, Panax Ginseng Extract, Ascorbic Acid (vit. C), Tricalcium Phosphate, Carrageenan, Caffeine, Sodium Alginate, Niacinamide (vit. B3), Sucralose, Color Added, D-glucuronolactone, Guarana Extract, Inositol, L-carnitine L-tartrate, Pyridoxine Hydrochloride (vit. B6), Riboflavin (vit. B2), Maltodextrin.",Shake gently.,Contains milk; Allergen info: contains milk,,
"Starbucks Coffee Drink, Coffee, Chilled",,$4.32," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e2c537f5-49dd-4388-a3bd-bba0a70820c7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_71fbdb68-efe9-431b-8c11-7a4193d158ce.png 4x","300 calories per bottle. frappuccino.com. For comments or questions, call 1-800-211-8307. Please recycle.,• A delicious treat for on the go.,• 13.7 oz","Brewed Starbucks Coffee (water, Coffee), Reduced-fat Milk, Sugar, Maltodextrin, Pectin.","Serving Suggestion: Shake well. Serve chilled or over ice.,Not finished? Refrigerate.","Safety button will pop up. If not, reject.",,
NESCAFÉ Taster's Choice House Blend Medium-Light Roast Instant Coffee,$12.69,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b64d5348-e117-48c2-aaf8-523dcbd45990.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_86d5a471-c43c-4402-998c-0230296889d3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_efe56328-66a2-4908-b48b-36610102e863.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dddf4a7c-8fd3-4ffe-beb5-5719f55002e8.jpg 4x","NESCAFÉ Taster's Choice House Blend Medium Light Roast delivers smooth, inviting flavor in every cup. Crafted with 100% real coffee, you can taste the quality instantly. We use only responsibly sourced arabica and robusta coffee beans and carefully roast them to capture each blend’s full flavor and aroma. Savor an irresistible cup of coffee, instantly with the world’s best-selling coffee brand,* NESCAFÉ.,*Based on 2020 global retail sales data reported by independent research company comparing brands of coffee.,• PREMIUM COFFEE—Savor smooth, well-balanced flavor in an instant with the pure coffee taste of NESCAFÉ Taster's Choice House Blend Light Medium Roast Instant Coffee,• EXCEPTIONAL TASTE—Elevate the taste of the coffee in your cup in an instant with this full-bodied, light- to medium-roasted coffee that's full of flavor,• PURE QUALITY—Crafted with respectfully grown, high-quality coffee beans from around the world, NESCAFÉ is proud to be the world’s best-selling coffee brand*,• EASY TO PREPARE—It's never been easier to get a perfect cup of coffee. Simply scoop one teaspoon, add hot water, stir and enjoy,• MAKES 105 CUPS—Each 7 oz. jar makes 105 cups of real, premium instant coffee",Instant Coffee,"Customize Your Cup! Select desired cup, add hot water, enjoy! Small 6 fl oz cup / 1 tsp; medium 8 fl oz cup / 1 heaping tsp; large 12 fl oz cup / 2 tsp.,Store in a cool, dry place.",Not Applicable.,,
Dunkin' Roast & Ground Coffee,$10.39,$13.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_38241449-1478-412d-bd03-0c3d55072ef6.jpeg 4x,"America runs on Dunkin’ — and this is the coffee that started it all. Dunkin’ Original Blend Coffee is the rich, smooth, medium roast that made the brand famous. These convenient K-Cup pods contain coffee made from premium beans, roasted and blended to deliver that same deliciously drinkable coffee taste that could only be Dunkin’: a perfect, no-fuss flavor. Better yet, it’s ready in a snap. So, when the craving strikes and there’s not even time to make it to a drive-thru, just pop a pod into your Keurig machine, and enjoy your go-to Dunkin’ coffee taste at home.",Coffee,"For use in Keurig K-Cup brewers. For the most authentic Dunkin' Donuts taste, use your brewer's 8 ounce setting.",Caution: Pod is hot. Allow to cool after use.,,
Folgers Instant Coffee,,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5917e3f1-9384-4d48-8f8e-1f2c3eb63ab8.jpeg 4x,"Get the classic Folgers coffee taste you love in an instant. Folgers Classic Roast Instant Coffee delivers smooth, balanced flavor for easy drinking in a quick and convenient form. Making a cup is easy: just add one (1) rounded teaspoon of instant coffee to six (6) fluid ounces of water or milk, stir it up and adjust to your taste preference. You can even enjoy it hot or iced. Try it in a hot mocha latte or a cool, refreshing whipped coffee — or just mix it up and get out the door. No matter how your prep it, Folgers instant coffee does the trick, quick. Add a jar to your coffee station today.",100% Pure Coffee,1. One rounded teaspoon per 6 fl oz cup. 2. Add hot water or milk. 3. Stir. Adjust to taste.,,,
