Product Name,Price,Color,Image URLs,Selling Points,Selling Point,Specifications
Men's 2 Piece Shirt Set Summer Set Matching Sets Casual Shirt Black White Gray Light Blue Short Sleeve Plain Standing Collar Vacation Daily Front Pocket Clothing Apparel Cotton Cotton Blend Fashion,$45.99,,"https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/zuvxim1688982786724.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/dkijzg1688982788022.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202406/bps/product/inc/julivs1719553111045.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/jbseim1688982789747.jpg","['1.', 'Fabric: Cotton Blend', '2.', ""Gender: Men's"", '3.', 'Occasion: Daily Vacation', '4.', 'Style: Casual']",,
Men's 2 Piece Shirt Set Summer Set Matching Sets Casual Shirt Black White Gray Light Blue Short Sleeve Plain Standing Collar Vacation Daily Front Pocket Clothing Apparel Cotton Cotton Blend Fashion,$45.99,Black,"https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/zuvxim1688982786724.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/dkijzg1688982788022.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202406/bps/product/inc/julivs1719553111045.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/jbseim1688982789747.jpg","['1.', 'Fabric: Cotton Blend', '2.', ""Gender: Men's"", '3.', 'Occasion: Daily Vacation', '4.', 'Style: Casual']",,
Men's 2 Piece Shirt Set Summer Set Matching Sets Casual Shirt Black White Gray Light Blue Short Sleeve Plain Standing Collar Vacation Daily Front Pocket Clothing Apparel Cotton Cotton Blend Fashion,$45.99,Light Blue,"https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/zuvxim1688982786724.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/dkijzg1688982788022.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202406/bps/product/inc/julivs1719553111045.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/jbseim1688982789747.jpg","['1.', 'Fabric: Cotton Blend', '2.', ""Gender: Men's"", '3.', 'Occasion: Daily Vacation', '4.', 'Style: Casual']",,
Men's 2 Piece Shirt Set Summer Set Matching Sets Casual Shirt Black White Gray Light Blue Short Sleeve Plain Standing Collar Vacation Daily Front Pocket Clothing Apparel Cotton Cotton Blend Fashion,$45.99,Gray,"https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/zuvxim1688982786724.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/dkijzg1688982788022.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202406/bps/product/inc/julivs1719553111045.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/jbseim1688982789747.jpg","['1.', 'Fabric: Cotton Blend', '2.', ""Gender: Men's"", '3.', 'Occasion: Daily Vacation', '4.', 'Style: Casual']",,
Men's Horizontal Stripes 2pcs Tees sets Summer Tops Short Sleeve Short Pants Crew Neck Sport Casual Daily Outdoor Casual Daily 3D Print Summer Black-white,$25.99,,"https://litb-cgis.rightinthebox.com/images/170x170/202505/bps/product/inc/dqhjpv1748601222160.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202505/bps/product/inc/lcshes1748601224337.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202505/bps/product/inc/iboosp1748601225655.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202505/bps/product/inc/gxsmgg1748601226993.jpg","['1.', 'Sleeve Length: Short Sleeve', '2.', 'Season: Summer']",,
Men's Graphic 2pcs Tees sets Summer Tops Short Sleeve Short Pants Crew Neck Sport Casual Outdoor Vacation Sport 3D Print Summer Black Blue Green,$25.99,,"https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/zgyiwn1742296554919.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/namcdi1743053075985.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/avufme1743053077267.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uykvgo1742296556798.jpg","['1.', 'Sleeve Length: Short Sleeve', '2.', 'Season: Summer']",,
Men's Graphic 2pcs Tees sets Summer Tops Short Sleeve Short Pants Crew Neck Sport Casual Outdoor Vacation Sport 3D Print Summer Black Blue Green,$25.99,Green,"https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/zgyiwn1742296554919.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/namcdi1743053075985.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/avufme1743053077267.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uykvgo1742296556798.jpg","['1.', 'Sleeve Length: Short Sleeve', '2.', 'Season: Summer']",,
Men's Graphic 2pcs Tees sets Summer Tops Short Sleeve Short Pants Crew Neck Sport Casual Outdoor Vacation Sport 3D Print Summer Black Blue Green,$25.99,Blue,"https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/zgyiwn1742296554919.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/namcdi1743053075985.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/avufme1743053077267.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uykvgo1742296556798.jpg","['1.', 'Sleeve Length: Short Sleeve', '2.', 'Season: Summer']",,
Men's Graphic Color Block 2pcs Tees sets Tee Set Short Sleeve Long pants Crew Neck Designer Casual Comfortable Outdoor Vacation Daily 3D Print Spring & Summer Blue Khaki Dark Blue,$33.99,,"https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/egbwcf1689648852127.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/eaqkay1689648852756.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/kidybf1689648853440.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/qibeju1689648854086.jpg","['1.', 'Fabric: Polyester', '2.', ""Gender: Men's"", '3.', 'Occasion: Vacation Daily', '4.', 'Style: Casual Designer', '5.', 'Neckline: Crew Neck', '6.', 'Sleeve Length: Short Sleeve', '7.', 'Pattern: Color Block', '8.', 'Quantity: 2pcs']",,
Men's Graphic Color Block 2pcs Tees sets Tee Set Short Sleeve Long pants Crew Neck Designer Casual Comfortable Outdoor Vacation Daily 3D Print Spring & Summer Blue Khaki Dark Blue,$33.99,Blue,"https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/egbwcf1689648852127.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/eaqkay1689648852756.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/kidybf1689648853440.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202307/bps/product/inc/qibeju1689648854086.jpg","['1.', 'Fabric: Polyester', '2.', ""Gender: Men's"", '3.', 'Occasion: Vacation Daily', '4.', 'Style: Casual Designer', '5.', 'Neckline: Crew Neck', '6.', 'Sleeve Length: Short Sleeve', '7.', 'Pattern: Color Block', '8.', 'Quantity: 2pcs']",,
