Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"Sweeten up your cocktails with Peach Real Peach Puree Infused Syrup! Made with real peach puree, this Cocktail Syrup adds a fruity punch to any drink. Each bottle contains 25.4 fl oz of syrup and is perfect for home bartenders who want to elevate their drinks. This delicious syrup is gluten-free and does not contain any added artificial colors or flavors. Whether you're making a classic Bellini or experimenting with a new cocktail recipe, Peach Real Peach Puree Infused Syrup will add the perfect touch of sweetness. Order now for Instacart same-day delivery or pickup from your local store.","Create perfectly mixed cocktails with Finest Call Mango Premium Puree Mix. Its smooth texture dissolves easily in your favorite drinks, adding the sweet and fruity flavor of real mango. Made with natural and artificial flavors, this versatile drink mixer is perfect for any bar service. The user-friendly packaging and patented pourer top make it easy to use. It contains 20% real juice and is fat-free, gluten-free, vegan, vegetarian, and kosher certified. Each serving of 4 fluid ounces contains 200 calories, 50 grams of carbohydrates, and 47 grams of sugar. Order Finest Call Mango Premium Puree Mix on Instacart for same-day delivery or pickup!","Sip on the taste of the tropics with Goya Piña Colada Mix. This gluten-free, vegetarian cocktail mixer is perfect for crafting your own refreshing Piña Coladas at home. Made with real pineapple and coconut, this 12 fl oz mix contains no alcohol, so you can customize your drink to your liking. Simply blend with rum and ice for a deliciously creamy, tropical cocktail that's perfect for any occasion. Each serving has 120 calories and 20g of carbohydrates. With Instacart's same-day delivery or pickup, you can enjoy the sweet taste of paradise in no time.","Sip on the sweet taste of summer with Finest Call Premium Peach Puree Mix. Made with real peach puree and juice concentrate, this refreshing drink is perfect for any occasion. Each serving contains 140 calories and 35 grams of sugar, making it a deliciously satisfying treat. The mix also contains citric acid, xanthan gum, and natural and artificial flavors to enhance the taste. Simply add to your favorite cocktail or blend with ice for a fruity smoothie. With Instacart's same-day delivery or pickup, you can enjoy the taste of ripe peaches without leaving your home.","Satisfy your cravings for a refreshing margarita without the guilt with Margaritaville Zero Sugar, Margarita Singles To Go Drink Mix. This powdered drink mix is made with natural flavors and contains no fat or sugar, making it a healthier option compared to traditional margaritas. With only 5 calories per serving and a kosher certification, you can enjoy this delicious drink guilt-free. Each box includes six servings of the perfect blend of tangy and sweet flavors, making it easy to prepare at home or on-the-go. Don't wait to enjoy a taste of paradise—order Margaritaville Zero Sugar, Margarita Singles To Go Drink Mix today from Instacart for same-day delivery or pickup.","Simple Syrup is a staple in any home bar, and Finest Call Simple Syrup is no exception. Made with natural flavors and real juice, this syrup is perfect for sweetening any cocktail or mocktail. The patented smooth-flow closure guarantees an accurate pour every time, while the colored closure makes product differentiation a breeze. Whether you're mixing up a classic Old Fashioned or trying your hand at a creative new concoction, Finest Call Simple Syrup will help you elevate your drinks to the next level. Available on Instacart for same-day delivery or pickup, make sure to add Finest Call Simple Syrup to your home bar essentials.","Get ready to shake things up with Filthy Margarita Mix, the perfect addition to your next cocktail party! Made with filtered water, fresh lime juice, organic blue agave nectar, and a hint of vitamin C, this mix packs a delicious punch without any alcohol content. Whether you're entertaining guests or enjoying a night in, this gluten-free and vegan-friendly mixer is sure to impress. With only 60 calories and 0 grams of fat per serving, you can sip and savor without any guilt. Don't waste any time mixing up your next margarita—order Filthy Margarita Mix on Instacart for same-day pickup or delivery!","Raspberry lovers, get ready to elevate your cocktail game with Finest Call Raspberry Puree! This non-alcoholic mixer is made from the finest raspberries, harvested at peak season and blended to perfection. The result? A rich, velvety puree that's perfect for adding a burst of fruity flavor to your drinks. Whether you're mixing up a classic raspberry martini or experimenting with new concoctions, this puree is sure to impress. And the best part? With Instacart's same-day delivery or pickup, you can have it in your hands in no time. So why wait? Add Finest Call Raspberry Puree to your next cocktail creation and delight your taste buds with every sip."
"Angostura Aromatic Bitters, Cocktail Bitters",$18.59,$19.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_95924b8d-6875-490d-a7bd-ed114c91fe9f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d70e399a-a532-4189-9358-65e6c77ac876.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a7059660-a7b1-46f4-8065-1f89714902c0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_827d5d3d-0a19-41f9-bf9a-ae5455cf1095.png 4x",Gluten Free,,"ANGOSTURA Aromatic Bitters is an essential ingredient, adding harmonious balance to contemporary cocktails and spirit-free beverages as well as the classics like a Manhattan, Old Fashioned, Pink Gin, Sazerac and much more. Recognized as the world’s first and best-selling cocktail bitters, ANGOSTURA aromatic bitters is still made with the same secret recipe developed in 1824. It is reddish-brown in hue with an aromatic bouquet of herbs, fruits and spices on the nose, stemming from the essence’s powerful mix of botanicals. Used by professional bartenders and aspiring mixologists, aromatic bitters completes any cocktail bitters set. ANGOSTURA aromatic bitters is an artfully balanced, versatile and unique flavor enhancer that can be used in sweet and savory cocktails, baked goods and other food recipes.","Alcohol, Water, Sugar, Gentian, Natural Flavors, Caramel Color","Fruits: For cooked or canned fruits add 2-3 dashes Angostura or flavor to taste. Salads: Blend 2 or 3 dashes Angostura with each cup of mayonnaise, French or other dressing. Pies: Add 4 or 5 dashes per cup of mince meat or pumpkin filling. 1 or 2 dashes to apple or other fruit. Soups: Add 1 or 2 dashes Angostura to each serving of canned or frozen soups, fish chowder, bisques and chicken soups. Stir in at last minute.",,,,,,,,,
Rose's Grenadine Syrup,$5.79,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f5601e16-0053-4e4f-9b69-4df1c9113f0b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c1b1fe6-810d-4059-9630-e6d07d5a037b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e4e08c3e-8a89-4fd7-9aed-b0d15c3e6f3d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4745940f-6e4a-4321-afdc-da2cad9c51e3.jpg 4x",,,"For over a century, the name Rose’s has been trusted by bartenders and cocktail enthusiasts alike as an indispensable mixer. The rich taste of Rose’s Grenadine is sweetened for ultimate mixability into your favorite spirits and cocktails. Rose’s Grenadine is also a perfect accent for non-alcoholic beverages to add a splash of color and flavor. When it comes to a quality mixer, there are no exceptions or substitutions for the trusted brand Rose’s.","High Fructose Corn Syrup, Water, Citric Acid, Sodium Citrate, Sodium Benzoate (preservative), Red 40, Natural And Artificial Flavors, Blue 1",{},Partially produced with genetic engineering.,,,,,,,,
Jose Cuervo Margarita Mix Classic Lime,$5.79,$11.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a85640e7-8b88-4a30-a3a8-9867585e8a1a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_37e6d0dd-9c31-456a-a179-5cb387511f7e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2ede5f50-4408-4750-913d-fb58e197a255.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c11e92c2-71c3-4be0-aeff-3f79dc3dff70.jpg 4x",,,"Jose Cuervo® Classic Lime Margarita Mix has a tart lime flavor that fades into creamy lemon. On the rocks or frozen with crushed ice, it is the easiest way to enjoy America’s favorite cocktail - just add Cuervo® tequila and serve!","Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Benzoate, Potassium Sorbate(to Preserve Flavor), Cellulose Gum, Saib, Polysorbate 60, And Fd&c Yellow 5.",Refrigerate after opening. Keep away from direct sunlight.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,,,,,,
Tres Agaves Organic Lime Margarita Mix,$10.39,$12.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c6295fd9-d19e-468b-a351-c7eef3dc92a7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cf1a93bb-a50f-4899-8392-9fa8d566adf8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_143752d8-a3dc-4d85-ae4b-9eebfd47af12.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_71e0c4cd-bbdc-4512-91c4-0b30294ccbf6.jpg 4x",,,"Tres Agaves Organic Lime Margarita Mix makes it easy to create real, organic margaritas at home. This USDA Certified Organic, gluten free, low calorie, low glycemic index mix is made with just four simple ingredients: organic agave nectar, organic lime juice, pure filtered water, and Vitamin C. With 68 calories per serving, this margarita mix creates a natural, lower calorie and great tasting margarita that's free from high fructose corn syrup. With just the right balance of sweet and sour, this organic margarita mix perfectly complements the unique flavor profile of Tres Agaves Tequila. Tres Agaves Organic Lime Margarita Mix won Gold in the Beverage Tasting Institute’s 90-point Award for Excellence. Simply shake this margarita mix with Tres Agaves Organic 100% de Agave Tequila and serve in your favorite rocks glass. This bottle of margarita mixer does not contain alcohol. Refrigerate the bottle after opening. In Tequila Valley, we trust.,• Contains simple, easy to pronounce ingredients, including organic agave nectar, lime juice, pure filtered water and vitamin C,• Tres Agaves organic margarita mix is USDA Certified Organic, gluten free, low calorie, low glycemic index and naturally delicious,• Gold winner of Beverage Tasting Institute’s 90-point Award for Excellence,• Pair this margarita with tacos, burrito bowls, enchiladas or chips and salsa,• One 1L bottle of Tres Agaves Organic Lime Margarita Mix, contains only 68 calories per serving","Filtered Water, Organic Agave Nectar, Organic Lime Concentrate, Ascorbic Acid (Vitamin C).","Real fruit. Real pulp. Shake well.,The Tres Margarita: 2 oz. Tres Agaves 100% Agave Tequila; 3 oz. Tres Agaves Organic Margarita Mix; Fresh lime wedge (optional). Shake with ice, taste for balance and pour over fresh ice into your favorite rocks glass. Add a squeeze of fresh lime wedge & use as garnish. Salted rim optional.,Refrigerate after opening.",,,,,,,,,
"Zing Zang Bloody Mary Mix, Non-Alcoholic Cocktail Mixer",$6.89,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa86f317-26ce-4d0e-a312-0176ce8e6964.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_294572ce-1949-46a7-92fa-1a6975791a54.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ba1e90a9-a68e-4448-807a-29c09180d175.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0bb7c6e2-3f05-460b-bd7d-388fb47eb9d7.png 4x",,,"When you want the best Bloody Mary, start with Zing Zang Bloody Mary Mix. What began as one man’s homemade recipe is now the number one Bloody Mary mix in America with a delicious and bold taste loved by bartenders and consumers alike. Crafted with real, premium ingredients, Zing Zang is made with tomato juice, a unique blend of seven vegetable juices (including celery, carrot, lettuce, parsley, spinach, watercress and beet), a complex array of bold spices, Worcestershire sauce and hot sauce. Simply add vodka to make a bartender-quality classic Bloody Mary, or add a different spirit or beer to create a savory cocktail, like a Bloody Maria or a michelada. It’s so good, you can even skip the alcohol and enjoy this non-alcoholic drink mixer as a spicy mocktail all by itself. This versatile cocktail mixer is even tasty as a cooking marinade or a base for soup and chili. Zing Zang’s other award-winning, premium-quality cocktail mixes made with all-natural ingredients include Piña Colada, Sweet & Sour and several Margarita Mixes. Kick off the good times with a taste that makes every sip legendary. Zing Zang is always bold and always ready.,• WHAT YOU GET: One 32 fl oz bottle of Zing Zang Bloody Mary Mix, non-alcoholic drink mix,• AMERICA’S FAVORITE: Award-winning and best-selling Bloody Mary cocktail mix in America with a taste trusted by both bartenders and consumers,• AUTHENTIC RECIPE: Crafted with tomato juice, a unique seven vegetable juice blend, a complex array of bold spices, Worcestershire sauce and hot sauce,• REAL INGREDIENTS: Does not contain high fructose corn syrup, artificial colors or artificial flavors, and is keto friendly with no added sugars,• JUST ADD ALCOHOL: Add vodka for the perfect Bloody Mary, or use your favorite spirit or beer to create bartender-quality cocktails,• BOLD AND DELICIOUS: Great taste for mocktails, and also tasty as a cooking ingredient in marinades, soups or chili recipes,• CONVENIENT PACKAGING: Easy to open, pour and store, the 32 fl oz bottle is perfect for a party, tailgate or to keep the home pantry stocked,• AWARD-WINNING PORTFOLIO: Enjoy other great-tasting Zing Zang cocktail mixers, including Piña Colada, Sweet & Sour, Daiquiri and Margarita Mix varieties","Tomato Puree (water, Tomato Paste), Vegetable Juice Blend (carrot Concentrate, Celery, Parsley, Beet Concentrate, Lettuce, Watercress, Spinach), Distilled Vinegar, Seasoning (salt, Hydrolyzed Vegetable Protein {corn, Soy, Wheat}, Sugar, Modified Food Starch, Monosodium Glutamate, Onion Powder, Yeast Extract, Spice, Disodium Inosinate & Guanylate, Celery Extract), Worcestershire Sauce (distilled Vinegar, Molasses, Sugar, Water, Salt, Onion, Garlic, Tamarind Extract, Natural Flavors), Celery Salt, Celery Seed, Salt, Pepper Sauce (distilled Vinegar, Aged Cayenne Red Peppers, Salt, Xanthan Gum, Garlic Powder), Black Pepper, Natural Flavors, Sodium Benzoate (as Preservative), Potassium Sorbate (as Preservative)","Spices settle, so shake it up before your pour!,Good times start here. Zing Zang classicc bloody mary. 3 parts Zing Zang bloody mary mix. 1 part of your favorite vodka. Pour over ice and add a squeeze of lime or enjoy our Bloody Mary Mix on its own! Nede some garnish ideas? Celery, cheese cubes, sausage, bacon, chicken wings, carrots, olives, pickle...,Please refrigerate after opening.",Contains: soy and wheat,,,,,,,,
Master of Mixes Cocktail Essentials Simple Syrup,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ca61b75-4596-4634-a615-6769f78ea8bc.png 4x,Gluten Free,,"From 100% cane sugar. Truly premium. Simple Syrup is an essential ingredient in may of the most classic cocktails, such as daiquiris, mojitos, Tom Collins, and more! Its uses far outnumber its ingredients including sweetening cocktails, desserts, tea, lemonade and coffee. www.masterofmixes.com.","Sugar, Water, Sodium Bisulfate, Potassium Sorbate, Sodium Metabisulfite (to Preserve Freshness - Contains Sulfites)",{},,,,,,,,,
Mr & Mrs T Original Bloody Mary Mix,,$11.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7eb4c89f-7261-46a2-9e3b-14d55329ad37.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d5a2c33a-74f3-4673-b251-25960a33a445.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d5a98bd7-713a-449b-a022-3b8e64d6c757.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_209414c0-5e1d-4759-a636-1218f8e32494.jpg 4x",,,"Serve up some fun at your next party or enjoy a delicious cocktail on your own with Mr & Mrs T’s Original Bloody Mary Mix. Created by Herb and June Taylor in Los Angeles, Mr & Mrs T has been making quality mixers since 1960. The Original Bloody Mary Mix is ready to be mixed with your favorite spirits right out of the bottle. Available in an assortment of flavors from sweet to savory and sourced from only the most premium ingredients, you can taste the quality in every sip of every Mr & Mrs T’s Mixers. A guaranteed crowd-pleaser, The Original Bloody Mary Mix blends the taste of ripe tomatoes with lemon juice, coarse black pepper. It’s then perfected with 95% juice with just the right amount of sea salt. With a made-from-scratch taste, You can also enjoy the great taste as a virgin cocktail. Mix a delicious Bloody Mary like a pro with the taste of Mr & Mrs T’s Original Bloody Mary Mix. Please enjoy responsibly.","Water, Tomato Concentrate, Vinegar, Cane Sugar, Sea Salt, Salt, Onion Powder, Spices, Worcestershire Sauce (water, Vinegar, Salt, Sugar, Malic Acid, Caramel Color, Spices, Molasses, Dextrose, Xanthan Gum, Citric Acid, Natural Flavors, Smoke Flavor, Garlic & Onion Powder, Acacia Gum, Guar Gum, Cellulose Gum), Hydrolyzed Corn Protein, Lemon Juice Concentrate, Paprika, Cayenne Pepper, Autolyzed Yeast Extract, Natural Flavors, Garlic Powder, Disodium Inosinate, Disodium Guanylate, Red Chili Pepper","Shake well before serving. Separation is normal.,Original Bloody Mary: Salt: Cocktail glass rim, if desired. Mix: 5 fl oz Mr & Mrs T Bloody Mary mix, 1 fl oz vodka, and ice. Pour: Into glass. Garnish with lime wedge and celery stick. Makes about 12 cocktails. 21+. Please enjoy responsibly.,Refrigerate after opening.",,,,,,,,,
Master of Mixes Margarita Salt,$2.29,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19a2d575-d200-43f9-9265-4d444139f892.jpeg 4x,,,www.masterofmixes.com. Perfect for all margaritas! Elevate your spirits.,Salt,"Drink Instructions: Moisten rim of margarita glass, place glass rim into salt, pour drink into glass.",,,,,,,,,
"Zing Zang Bloody Mary Mix, Non-Alcoholic Cocktail Mixer",$10.39,$13.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a9bac302-eee0-4c0e-801f-57551dff0d43.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bbff9eac-5896-4a8c-aaaf-6db0744760cc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_13a3b21c-f177-4f72-a62e-5d13ee9367b6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_64033d5e-16cf-4d1c-80b3-a8569c8114e8.png 4x",,,"When you want the best Bloody Mary, start with Zing Zang Bloody Mary Mix. What began as one man’s homemade recipe is now the number one Bloody Mary mix in America with a delicious and bold taste loved by bartenders and consumers alike. Zing Zang is made with tomato juice, seven vegetable juices (including celery, carrot, lettuce, parsley, spinach, watercress and beet), a complex array of bold spices, Worcestershire sauce and hot sauce. Simply add vodka to make a bartender-quality classic Bloody Mary, or add a different spirit or beer to create a savory cocktail, like a Bloody Maria or a michelada. It’s so good, you can even skip the alcohol and enjoy this non-alcoholic drink mixer as a spicy mocktail all by itself. This versatile cocktail mixer is even tasty as a cooking marinade or a base for soup and chili. Zing Zang’s other award-winning, premium-quality cocktail mixes made with all-natural ingredients include Piña Colada, Sweet & Sour and several Margarita Mixes. Kick off the good times with a taste that makes every sip legendary. Zing Zang is always bold and always ready.,• WHAT YOU GET: One 1.75L bottle of Zing Zang Bloody Mary Mix, non-alcoholic drink mix,• AMERICA’S FAVORITE: Award-winning and best-selling Bloody Mary cocktail mix in America with a taste trusted by both bartenders and consumers,• AUTHENTIC RECIPE: Crafted with tomato juice, a unique seven vegetable juice blend, a complex array of bold spices, Worcestershire sauce and hot sauce,• REAL INGREDIENTS: Does not contain high fructose corn syrup, artificial colors or artificial flavors, and is keto friendly with no added sugars,• JUST ADD ALCOHOL: Add vodka for the perfect Bloody Mary, or use your favorite spirit or beer to create bartender-quality cocktails,• BOLD AND DELICIOUS: Great taste for mocktails, and also tasty as a cooking ingredient in marinades, soups or chili recipes,• CONVENIENT PACKAGING: Easy to open, pour and store, the 1.75L bottle is perfect for a party, tailgate or to keep the home pantry stocked,• AWARD-WINNING PORTFOLIO: Enjoy other great-tasting Zing Zang cocktail mixers, including Piña Colada, Sweet & Sour, Daiquiri and Margarita Mix varieties","Tomato Puree (water, Tomato Paste), Vegetable Juice Blend (carrot Concentrate, Celery, Parsley, Beet Concentrate, Lettuce, Watercress, Spinach), Distilled Vinegar, Seasoning (salt, Hydrolyzed Vegetable Protein (corn, Yeast, Soy, Wheat Gluten), Sugar, Modified Corn Starch, Monosodium Glutamate, Onion, Spice, Disodium Inosinate And Guanylate, Spice Extract), Lea & Perrins Worcestershire Sauce (distilled White Vinegar, Molasses, Water, Sugar, Anchovies, Onion, Tamarind, Salt, Garlic, Cloves, Chili Pepper Extract, Natural Flavor), Celery, Celery Salt, Celery Seed, Black Pepper, Sodium Benzoate (as Preservative), Potassium Sorbate (as Preservative), Pepper Sauce (vinegar, Red Pepper, Salt).","Spices settle, so shake it up before you pour!,Zing Zang classic bloody Mary: 3 parts zing Zang Bloody Mary mix; 1 part of your favorite vodka; pour over ice and add a squeeze of lime. Or enjoy our bloody Mary mix on its own!,Please refrigerate after opening.","Contains fish (anchovies), soy, wheat.",,,,,,,,
Mr & Mrs T Bold & Spicy Bloody Mary Mix,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d21e95a8-1190-4eb3-990c-5c14e0a40a8a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_101895ac-4125-4a0f-b51e-1192dc8cc721.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8cd8d316-ed13-4877-8c3c-deff66044f74.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_794943bf-189c-43d2-a856-36bebddaa141.jpg 4x",Gluten Free,,"Serve up spicy, tasty fun at your next party or enjoy a delicious cocktail on your own with the 1.75L Mr & Mrs T’s Bold & Spicy Bloody Mary Mix. Created by Herb and June Taylor in Los Angeles in the early ‘60s, Mr & Mrs T has been making quality mixers ever since. Sourced from only the most premium ingredients, you can taste the quality in every sip of Mr & Mrs T’s Mixers. With a fresh, made-from-scratch flavor, Mr & Mrs T’s Bold & Spicy Bloody Mary Mix is ready to be mixed with your favorite spirits right out of the bottle. A guaranteed crowd-pleaser, Mr & Mrs T’s Bold & Spicy Bloody Mary Mix takes the juice of ripe tomatoes spiked with a blend of jalapeño, chipotle, and cayenne pepper to create our boldest, spiciest Bloody Mary mix yet. It’s then perfected with 95% juice for just the right taste you won’t find anywhere else. You can also skip the alcohol and simply enjoy the great taste as a virgin cocktail. Make delicious, fiery Bloody Marys with a peppery kick like a pro with the made-from-scratch taste of Mr & Mrs T’s Bold & Spicy Bloody Mary Mix. Please enjoy responsibly.","Water, Tomato Concentrate, Cane Sugar, Vinegar, Sea Salt, Salt, Citric Acid, Worcestershire Sauce (water, Vinegar, Salt, Sugar, Malic Acid, Caramel Color, Spices, Molasses, Dextrose, Xanthan Gum, Citric Acid, Natural Flavors, Smoke Flavor, Garlic And Onion Powder, Acacia Gum, Guar Gum, Cellulose Gum), Jalapeño Pepper Purée, Spices, Onion Powder, Cayenne Pepper, Chipotle Pepper Purée, Garlic Powder","Shake well before serving. Separation is normal.,Salt: cocktail glass rim with spicy salt, if desired. Stir: 4 fl oz bloody mary mix, 1 fl oz vodka, and ice into glass. Garnish: with lime wedge and jalapeño. Makes about 15 cocktails.,Refrigerate after opening.",,,,,,,,,
