Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Peanut Free,Gluten Free
Cupcake Vineyards Chardonnay,$13.09,$17.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d9e9bea6-7ae7-4a6c-9a62-1265e68eae3b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cf11f04d-dc09-4bf3-9a3c-9a87a2e3b3d7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5640091f-50a8-427a-818d-9302bfe5209f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_26df0564-bed3-4177-88be-199ad312c7ac.jpg 4x","Cupcake Vineyards Chardonnay white wine comes from Monterey County and has an elegant, creamy mouthfeel, imparting notes of apple tart, lemon zest, fresh pear, and subtle vanilla. With 14.1% ABV, this Chardonnay is perfect for pairing with a charcuterie board. Sourced from renowned coastal vineyards where the cool climate and long growing season help grapes maintain their natural acidity, this wine is ideal for enjoying chilled on a sunny day.",,{},Contains sulfites,,,
Butter Chardonnay,$17.99,$22.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c456fc1-ccbb-49dc-a109-12e253ab8c50.png 4x,"Butter Chardonnay is rich, bold and luscious. Made in the tradition of quality Californian winemaking, the grapes we select are juicy, ripe and bursting with flavor. We cold ferment this easy-to-love chardonnay,to a lush creaminess and age it in our unique blend of oak. Butter brims with stone fruit and baked-lemon notes and has a lovely, long, vanilla finish.,• Easy-to-love Butter Chardonnay is rich, bold, luscious and melts in your mouth…yum!,• What makes Butter even better? Screw cap bottle, also comes in ButterCans, and under $20.,• Butter Wines are easy-to-love, every-day wines that live up to their names.,• Sip, smile and share @ButterWines and JaMCellars.com","Chardonnay, Contains Sulfites.",{},Contains sulfites.,,,
Joel Gott Wines Cabernet Sauvignon,$17.99,$21.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1b6ffd35-5d5d-4099-872e-573fcc6263e0.png 4x,"Joel Gott 815 Cabernet Sauvignon Red Wine contains fruit sourced from varied regions across California to create an elegant and well-balanced wine. This dry red wine showcases aromas of blackberry and plum. The wine opens with dark, concentrated fruit flavors, followed by velvety tannins on the mid-palate and notes of vanilla on the long, textured finish. This Cabernet Sauvignon wine earned 90 points from James Suckling in December 2023. It is an elegant and balanced dry wine that pairs exceptionally well with steak, asparagus and a charcuterie board. Sourced from vineyards in Napa, Sonoma, Lake County, Central Coast, Mendocino and Lodi, this California wine reflects what each appellation gives to the wine. Joel Gott 815 Cabernet Sauvignon is aged in 30% new American oak for 18 months for exceptional tannin and flavor development. One 750mL wine bottle of Joel Gott 815 Cabernet Sauvignon Red Wine has 13.9% alcohol by volume. A great wine for the Holidays, Joel Gott offers great wines for the perfect holiday wine gift. Whether you gift wine as a stocking stuffer, to your neighbor across the street or serve at your own holiday table. Joel Gott has made wines with everything that matters: structure, sweet fruit, tannins, color and mouthfeel. Enjoy!,• Dry red wine with aromas of blackberry and plum, balanced tannins and a long, textured finish,• Cabernet Sauvignon wine featuring dark, concentrated fruit flavors,• Earned 90 points from James Suckling in December 2023,• Dry wine that pairs exceptionally well with steak, asparagus and a charcuterie board,• One 750mL wine bottle of Joel Gott 815 Cabernet Sauvignon Red Wine, 13.9% ABV",,,Contains sulfites,,,
Stella Rosa Rosso,$18.59,$22.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_46bf29fc-8143-4af6-a14f-e8d2855d5fa8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb5539ad-b756-4544-9dad-3b98e41b472f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_88a82721-ada7-4c56-9c52-3268bc85da0d.jpg 4x","Stella Rosa Rosso Red Berry Semi-Sweet Red Wine is a proprietary blend of several red grape varietals including Brachetto. The grapes are harvested, pressed, centrifuged, and then held cold as juice at 28 degrees Fahrenheit. The juice is fermented at various intervals throughout the year allowing the wine to remain fresh and delicate. The Riboli family uses this technique to capture the fresh flavors of strawberry and red berries. During the fermentation process, the alcohol is created in tandem with the wine’s natural carbonation. Once the desired sweetness is achieved, the wine is centrifuged and bottled. Its natural acidity and low pH strike the perfect balance with the wine’s inherent sweetness. It is not cloying or heavy. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail.","Rudugi Of Italy Ngredients: Grape Must, Sulphur Dioxide Antioxidant).","Serve chilled with fresh fruit, cheese, spicy cuisine, and desserts.",Contains sulfites,Gluten Free,,
Chateau Ste. Michelle Riesling,$11.99,$16.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef390863-7492-43e4-9eb9-6da548e939e5.png 4x,"Treat yourself to a bottle of Chateau Ste. Michelle Columbia Valley Riesling and experience the chateau wherever you go! A refreshing white wine with a crisp and fruity taste, this medium-bodied dry Washington Riesling is crafted for freshness and balance. Bright flavors of white peach, green apple, mango and lemon-lime bring a fruit character to this bottle of wine that is balanced with subtle mineral notes and lovely floral aromas. Made in Washington State’s renowned Columbia Valley with grapes from multiple vineyard lots, this Riesling is a complex, layered blend, indicative of the region, with the 2020 vintage earning 90 points from Wine Enthusiast, September 2021. Chateau Ste. Michelle Columbia Valley Riesling is a flavorful, food-friendly Riesling wine. Add a touch of elegance to weeknight dinner with a glass of white wine, or elevate a relaxing picnic with this bright and crisp bottle of wine. These bottles are easy to take with you for any occasion, ideal for serving with grilled seafood, mussels or spicy Korean chicken wings. Wine bottles are 750 ml and have an 12% ABV.,The Columbia Valley Riesling comes from Chateau Ste. Michelle, known for their renowned Riesling grapes. Since 1967, the dedicated winemakers at Chateau Ste. Michelle have transformed the finest grapes into some of the most spectacular wines in the world. At Chateau Ste. Michelle, the experience of Washington State’s inviting elegance and sophistication is in everything we do. Championing craftsmanship and creativity to provide a sense of wonder in every bottle. Chateau Ste. Michelle winery owns 3,500 acres in the Columbia Valley of eastern Washington, including Horse Heaven, Canoe Ridge Estate and Cold Creek vineyards.","Riesling, Sulfites.",Drink responsibly,Contains sulfites,Gluten Free,,
Chateau Ste. Michelle Cabernet Sauvignon,$17.99,$22.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3ee34c35-3565-472c-af05-1942e1163b50.png 4x,"Chateau Ste. Michelle Columbia Valley Cabernet Sauvignon is an inviting red wine with complexity and structure. Chateau Ste. Michelle Cabernet Sauvignon red wine is rich, silky and supple offering notes of red cherry, jam and strawberry finished off with a hint of baking spice and silky tannins for a pleasant sipping experience. Made in Washington state’s renowned Columbia Valley with grapes from multiple vineyard lots, this medium-full bodied, dry red wine is recognized for New World fruit intensity in an Old World style. During winemaking, ripe grapes are destemmed and inoculated with various strains of yeast to maximize complexity, then aged 14 months in oak to achieve a taste with medium oak impact. The 2018 vintage received 91 points and #1 Best Buy pick from Wine Enthusiast, November 2021. Enjoy a glass of red wine Cabernet Sauvignon on its own, or elevate a weeknight dinner with this flavorful bottle of wine. Cabernet Sauvignon red wine pairs well with beef and pasta dishes. Bring chateau to your home or with you wherever you go with this wine bottle of Columbia Valley Cabernet Sauvignon. Wine bottles are 750 ml and have a 13.5% ABV.,Since 1967, the dedicated winemakers at Chateau Ste. Michelle have transformed the finest grapes into some of the most spectacular wines in the world. At Chateau Ste. Michelle, the experience of Washington State’s inviting elegance and sophistication is in everything we do. Championing craftsmanship and creativity to provide a sense of wonder in every bottle. Chateau Ste. Michelle winery owns 3,500 acres in the Columbia Valley of eastern Washington, including Horse Heaven, Canoe Ridge Estate and Cold Creek vineyards.","Cabernet Sauvignon, Sulfites.",Drink responsibly,Contains sulfites,Gluten Free,,
Francis Ford Coppola Winery Claret,$18.99,$22.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_351f974e-290c-436c-bca9-5c2f5b118d34.png 4x,"In 1972, legendary filmmaker Francis Ford Coppola had a vision of a wonderland among the rolling hills of Northern California wine country. Enduring the twists and turns, peaks and valleys (and multiple brushes with bankruptcy) along that winding road, Francis Coppola never gave up on his desire to create a wine designed ""to celebrate the love of life."" Crafted with the same passion and determination he brings to his films, the Diamond Collection is a tribute to all those dreamers and risk-takers like himself. Every member of the Diamond Collection is a testament to the family's craftsmanship and the perfect gift to ""celebrate the love of life"". Our crown jewel, the Claret Cabernet Sauvignon red wine, is a Bordeaux-style blend made from grapes found all across the state of California. Every bottle of Claret reflects a diversity of varietals and vineyards whose soils contribute to the wine's complexity. So, join the Coppola family, get a glimpse of beautiful Sonoma County, and savor a real taste of the diamond life.,• 92 points Tasting Panel (2019), 90 points Gold Medal at 2022 Monterey International Wine Competition (2018),• Ever-inviting, fragrant notes and aromas of vanilla, clove, and blueberry,• Full-bodied, dark, and luscious red wine with expressive flavors of plum, pepper, and cocoa,• Pairs effortlessly with foods like ribeye steak and portabella mushrooms",,"In 1972, legendary filmmaker Francis Ford Coppola had a vision of a wonderland among the rolling hills of Northern California wine country. Enduring the twists and turns, peaks and valleys (and multiple brushes with bankruptcy) along that winding road, Francis Coppola never gave up on his desire to create a wine designed ""to celebrate the love of life."" Crafted with the same passion and determination he brings to his films, the Diamond Collection is a tribute to all those dreamers and risk-takers like himself. Every member of the Diamond Collection is a testament to the family's craftsmanship and the perfect gift to ""celebrate the love of life"" this holiday season. Our crown jewel, the Claret Cabernet Sauvignon red wine, is a Bordeaux-style blend made from grapes found all across the state of California. Every bottle of Claret reflects a diversity of varietals and vineyards whose soils contribute to the wine's complexity, making it the perfect gift, or addition to your Winter celebration. So, join the Coppola family, get a glimpse of beautiful Sonoma County, and savor a real taste of the diamond life.",Contains sulfites,,,
Sutter Home White Zinfandel Wine,$13.29,$17.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87c5e769-9a74-4117-a8e4-d0aa7cfb5ba5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_01758bd9-3198-44ae-ab93-a07db1c8fc16.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2f217e1e-46b8-4648-8523-f87dd2623896.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3bac7a78-296d-4b87-ba35-e9f7ef2c2dfb.jpg 4x","Sutter Home White Zinfandel Wine looks as good as it tastes with its beautiful pale pink color. Delicate aromas of sun-ripened berries lead to sweet, creamy strawberry and melon flavors that mingle with a hint of vanilla on the palate. The crisp, refreshing finish balances out this lightly sweet wine, making it the perfect partner for a wide variety of foods. Sutter Home Wine has earned Silver from 2023 Toast of the Coast Wine Competition and 93 points - Silver from 2022 California State Fair. As you gather around the table this holiday season, enjoy Sutter Home wine in your favorite wine glasses with mashed potatoes, chicken, turkey, stuffing and all the pumpkin & apple pies. Or get cozy around the fireplace and warm up while enjoying a glass of wine. Sutter Home wines is the perfect holiday gift. Whether you gift wine as a stocking stuffer, to your neighbor across the street, or serve at your own holiday table. Sutter Home wines are a great addition to holiday wine gift sets! Sutter Home, family owned since 1948, is the brand generations of wine lovers trust to deliver consistent, award-winning quality and value for every wine occasion.,• Rose wine with creamy strawberry and melon flavors with a hint of vanilla,• Wine with a crisp and refreshing finish and sun-ripened berry aromas,• Earned Silver from 2023 Toast of the Coast Wine Competition and 93 points - Silver from 2022 California State Fair,• Pairs well with spicy Asian cuisine, shrimp cocktail and grilled chicken,• Grapes are sourced from California vineyards,• Grapes are pressed immediately after harvesting and cold fermented in stainless steel tanks during the wine making process,• One 1.5L wine bottle of Sutter Home White Zinfandel Wine, 9.8% ABV","Creamy Strawberry and Melon Flavors, Sulfites.",{},"Contains sulfites.,GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
La Marca Prosecco Rose,$17.99,$19.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fd0007a2-39d2-45a3-8212-ef5b52f63ee6.png 4x,"Add some sparkle to your day with La Marca Prosecco Rose Sparkling Wine. This rose wine offers the bright, crisp fruit and floral essence of traditional La Marca Prosecco with the delicate elegance of Pinot Noir. Each sip boasts classic notes of fresh-picked citrus, honeysuckle, peach and pear, blended beautifully with hints of ripe red cherry, raspberry and wild strawberry. Zesty, refreshing and effervescent, La Marca Prosecco Rose Sparkling Wine is ideal for drinking chilled on its own or in a bubbly cocktail. It's perfect for pairing with celebratory desserts, fresh salads, fish and poultry. You can count on La Marca Prosecco Sparkling Wine to bring joy to any occasion. Each 750 mL bottle contains about 6 glasses of sparkling wine with 11% alcohol by volume. With a zest for life and roots in effortless Italian style, La Marca’s inviting and flavorful wines have captured the hearts and flutes of all those who seek joy and believe a chilled glass of bubbles can brighten days and mark all of life’s most joyful moments.,• One (1) 750 mL bottle of La Marca Prosecco Rose Sparkling Wine,• Offers the crisp fruit and floral essence of La Marca Prosecco wine with the elegance of Pinot Noir,• Blush wine with lively bubbles and notes of citrus, honeysuckle, peach and pear,• Delicious served chilled on its own, in a bubbly wine cocktail or paired with foods like salmon and avocado salad or soft, spreadable cheeses,• Each 750 mL bottle contains about 6 glasses of sparkling wine with 11% alcohol by volume,• Serve at Sunday brunch, girls night out, bridal showers or any occasion",,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Apothic Cabernet Sauvignon,$9.99,$13.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8ea14595-b5d2-415d-80fe-6bbac6afbe6c.png 4x,"Apothic Cabernet Sauvignon is a feast of juicy, jammy flavors in a full-bodied yet silky wine. This exquisite Cabernet is brimming with notes of black cherry, blackberry jam, and dark plum, enriched by soft aromas of vanilla. Perfect for a memorable dinner at home, whether it's a special evening with your partner or a lively gathering with friends, it pairs wonderfully with a good steak, well-aged cheeses, and rich cakes. As evening descends, let Apothic Cabernet Sauvignon add sophistication and warmth with every sip.,• One (1) 750 mL wine bottle of Apothic Cabernet Sauvignon,• Notes of black cherry, blackberry jam, and dark plum, enriched by soft aromas of vanilla,• Juicy, jammy flavors, full-bodied yet silky on the palate,• Perfect for a memorable dinner at home, whether it's a special evening with your partner or a lively gathering with friends,• Enjoy drinking a glass of this red wine at room temperature,• Pairs wonderfully with a good steak, well-aged cheeses, and rich cakes,• Each 750 mL bottle contains about 6 glasses of wine with 13.9% alcohol by volume,• Produced and bottled by Apothic using California grapes",,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Vendange Chardonnay White Wine Go Pack,$5.29,$7.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b146bbe4-3deb-47e5-95c9-474cbc83d32e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ec40d87-dde1-4b50-9d4a-81f08e4f2c85.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_888097a5-79ea-4ebc-9830-380b6257dc22.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2796cbd5-8f4a-46a4-818a-f38a8bb567c1.png 4x","Established as one of America’s best-selling wines, Vendange offers a selection of well-balanced and high-quality varietal wines at reasonable prices. Easily recognized by its elegant and distinctive triangle-shaped label, Vendange is the ideal wine for entertaining or enjoying with a meal at home. With its fruit-forward varietal characteristics, Vendange wine is perfect for everyday consumption. This chardonnay has an inviting aroma of freesia, along with green apple and added layers from oak. It is a full-flavored, balanced, delicious wine with some apple and pear notes and a hint of toasted oak.",Chardonnay,{},Contains sulfites.,,,
Matua Sauvignon Blanc,$14.99,$17.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_38def455-92f1-4157-9216-eaa8c660cf0d.png 4x,"Matua is New Zealand's first Sauvignon Blanc, and to this day, Matua continually brings out the chill vibes and even cooler refreshment to every season. This is all credited to the Matua philosophy of making wine from the best grapes from the best vineyards in New Zealand, letting the quality, fruit character, freshness and purity shine through every glass. Before enjoying Matua's crisp and vibrant flavors, be sure to chill it. Every bottle of Matua is fitted with a 'Chill Check' thermographic snowflake label that turns blue to let you know that your wine is perfectly chilled and ready to be uncapped and enjoyed. So, next time you're looking for some casual fun, call some friends to toast or just call it a ""me-day"" while you lounge and enjoy the cool, refreshing flavors found within every bottle of Matua.","Sauvignon Blanc, Sulfites.",{},Contains sulfites.,,,
"Ruffino Prosecco DOC, Italian White Sparkling Wine",,$17.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6a230c1a-522a-42da-b3a5-f32e19769240.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_de7908e5-61e1-446c-b863-cb7be8ac0c6f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_74fb9796-9bef-4fa8-bccd-5c02a186f51f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e6103505-291b-4f67-b37c-3d572332ee90.jpg 4x","Ruffino Prosecco DOC Italian Sparkling White Wine is crisp, clean, and delicate. This Italian Prosecco offers vibrant flavors of apples and peaches that lead to a pleasant finish with lingering fruit and floral notes. With a dry taste and fine bubbles on the palate, it is a bright, flavorful option for those who typically drink sparkling Brut style wines. Made from grapes grown in the Prosecco region of northeastern Italy, the wine underwent the Charmat Method to preserve the varietal’s fruity aromas and create refined bubbles. If you’re a lover of sparkling wines, enjoy this Prosecco as an apéritif or pair it with pizza and seafood. For optimal taste, chill this 750 mL bottle of Italian sparkling wine for three to three and a half hours before serving.,• One 750 mL bottle of Ruffino Prosecco DOC Sparkling White Wine containing five 5-oz servings of wine,• Subtly sweet sparkling wine with pizza and seafood,• Enjoy chilled. Pairs well with risottos and lightly spicy dishes.,• A crisp, clean bubbly wine with a pleasant finish,• Made with 85% Glera and 15% Pinot Grigio, Chardonnay, and other complementary grapes from Veneto, Italy",Glera,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Peanut Free,,
[yellow tail] Cabernet Sauvignon,,$10.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6328fbc6-bebb-4d6a-bd9f-c326cd5afdcb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_13a9dbd8-be52-4dc2-bd59-489ce45e43d6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_998ed125-1048-492c-80ae-2e758bf8a95b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_15d9535b-3274-4253-873a-ec2060719672.jpg 4x","Made in South Eastern Australia, [ yellow tail ] Cabernet Sauvignon is a red wine that brings the flavors and essence of the region to your glass, ensuring a smile with each sip. This cabernet sauvignon is everything a great wine should be with its easy to drink, velvety taste and classic flavor profile. Featuring vibrant flavors of juicy blackcurrants, sweet mocha and spice, this red wine is full bodied and silky smooth. Enjoy this flavorful red wine with a steak dinner or lamb. Serve this bottle of wine with chocolate fondue, perfect for sharing with friends. [ yellow tail ] wine is wonderful for livening up casual dinners with loved ones and bringing a lighthearted spirit to any and every event and celebration. This [ yellow tail ] wine bottle is 750 ml and has a 13% ABV. Great quality wine can be affordable and good fun too. We like our wines to be vibrant, flavorsome and approachable, making everyday moments even more enjoyable. A wine for any occasion, [ yellow tail ] is easy to choose, drink and enjoy.","Blackcurrants, Mocha, Spice Flavors, Sulfites.",{},Contains sulfites,,,
"Cupcake Vineyards Pinot Grigio, DOC Trentino",,$11.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9d150b18-ffc1-4143-b736-b9d7bac3ff6c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_838be5ce-22ab-4bfd-90e9-6b697b63a5cc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b42c8f21-8d49-4679-b55c-570eaea1723e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_33a9ee2e-d1e7-4104-91e9-527555791625.jpg 4x","Cupcake Vineyards Pinot Grigio white wine captivates with notes of pear, honeysuckle, and fresh lemon zest. This delightful wine hails from the Delle Venezie D.O.C. region in Italy, known for its cool nights and warm days that create the perfect conditions for ripening grapes. With a 12.5% ABV, it pairs impeccably with seafood pasta and is best enjoyed chilled on warm summer evenings.","Pinot Grigio, Sulfites.",{},Contains sulfites,,,
Josh Cellars Pinot Noir,$17.99,$19.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_47628f23-e4a4-4855-87b8-9de874ff090b.png 4x,"Our elegantly balanced Pinot Noir has lush cherry and strawberry flavors with a hint of lightly toasted oak.We love pairing this wine with roasted turkey, soft cheeses like Brie or Comté, or hearty vegetables like sautéed mushrooms.","Wine Pinot Noir, Sulfites.",{},Contains sulfites.,,,
"Bota Box Sauvignon Blanc White Wine, 3 L",$24.99,$33.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9b2a9303-cf3f-4349-b260-e57ebde67e6f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_525cbd9b-b8b1-496e-aac6-fb510284fbbc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a7fdaf00-dd3a-4d24-82f5-8a521f5bcc51.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_30abc307-efae-45a6-947b-a982404c14df.png 4x","Bota Box wines are always ready for an adventure. Packaged using sustainable materials and a resealable spout that keeps light and air out, so you can enjoy quality wines anywhere, anytime for up to 30 days after opening. So, whether your plans include a weekend camping trip or a movie night in with your dog, the full-bodied flavor of Bota Box white wine pairs perfectly with all of life’s occasions.,• Award-winning, high-quality wines,• Each three Liter Bota Box contains four bottles of Sauvignon Blanc wine,• Refreshing aromas of lime zest and lemongrass precede flavors of citrus, melon, and a touch of minerality,• Light and refreshing white wine pairs well with grilled chicken skewers and salad with goat cheese and vinaigrette,• 100% recyclable boxes with packaging that produces 96% less landfill waste and has a lower carbon footprint when compared to glass bottles; Boxes block out light and air to keep wine fresh for up to one month after opening",,"Great Taste All Around: Bota Box Sauvignon Blanc is up for dining al fresco or lunch. on the golf course. Refreshing with lime zest and lemongrass, joined by citrus, melon, and a touch of minerality. Pairs with light moments and light meals, like grilled chicken skewers or a salad with goat cheese and vinaigrette.,See bottom of box for opening instructions. Opening Instruction: (1) Push. Break the perforated slot with a little push. (2) Pull. Grab the nozzle and pull it all the way out. (3) Pour. Voila! It's time to enjoy some Bota.,Once open stays fresh for up to 30 days.",Contains sulfites,,,
Bogle Vineyards Cabernet Sauvignon,$9.99,$12.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c0886074-4bb7-4573-bba2-c31dffffb218.png 4x,"As grape growers we hold high regard for the mindful tending of the soil and exacting knowledge of the cellar. Contact us at 916.744.1139 or visit our web site www.boglewinery.com. Alcohol 13.5% by volume. Vinted & Bottled by Bogle Vineyards Clarksburg, California.",,{},Contains sulfites,,,
Bota Box Red Wine Blend,,$19.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_351ca55c-4623-4572-9b30-c96d85251d85.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_77025940-b44b-44ee-ae6e-4d3573a92010.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6df93a7e-9f93-4b58-a4c7-64284fc89b67.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_44df8585-6c0b-47b0-891b-b99874aaa8ba.png 4x","Living the Bota life means great times with best friends over good wine. It’s about leaving expectations behind and going with the flow—wherever life takes you next. Our award-winning wine uses sustainable materials & the three-liter box and spout keep light and air out, so you can enjoy quality wines anywhere, anytime for up to 30 days after opening. Our Bota Box RedVolution® is a rich and full-bodied red wine with aromas of spice and blackberry jam flavors. This juicy blend shows red and black fruit, with a finish of nutmeg, cocoa and sweet cherries. Pairs perfectly with grilled lamb, wild mushroom pizza, and penne pasta with fresh tomato sauce, and all of life’s adventures.,• Award-winning, high-quality wines,• Each 3 Liter Bota Box contains 4 bottles of Red Blend wine,• Rich aromas of spice and blackberry jam finish with the flavors of red and black fruits, nutmeg, cocoa, and sweet cherry,• Full-bodied red wine pairs well with grilled lamb, wild mushroom pizza, and penne pasta with fresh tomato sauce for your dinner party,• 100% recyclable boxes with packaging that produces 96% less landfill waste and has a lower carbon footprint when compared to glass bottles; Boxes block out light and air to keep wine fresh for up to one month after opening","RedVolution, Sulfites.","Press here. See bottom of box for opening instructions. Opening Instructions: (1) Push: Break the perforated slot with a little push. (2) Pull: Grab the nozzle and pull it all the way out. (3) Pour: Voila! It's time to enjoy some Bota.,Once open stays fresh for up to 30 days.",Contains sulfites,,,
Liberty Creek Vineyards Chardonnay White Wine,,$8.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_770b6adf-f905-4ae6-b47d-7a344b75495b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a121f438-304a-45e0-81e3-eb4db777b3fd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8fb0ac0b-48dc-4cf9-8370-794b96d6a1e6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1dcf8549-f6ad-404d-8945-c24a46c91438.png 4x","Liberty Creek Vineyards Chardonnay White Wine is made in a lighter style with an emphasis on fresh citrus and inviting apple aromas. Ideal for an outdoor dinner, this California wine pairs perfectly with poultry, white pasta sauces or grilled seafood. With a clean, smooth finish, this light bodied wine is best served chilled. This large 1.5 L wine bottle contains two 750 mL bottles of wine, making it ideal for entertaining or enjoying with a group of friends. Great tasting, everyday American-made wine.,• One 1.5 L bottle of Liberty Creek Vineyards Chardonnay White Wine,• Light bodied wine with a clean, smooth finish,• Crisp notes of fresh citrus, pear and spice with an inviting green apple aroma,• Larger wine bottle is ideal for entertaining or enjoying with a group of friends,• Enjoy this refreshing white wine with poultry, pasta or seafood,• Crisp white wine from California,• Best served chilled",Chardonnay.,"Pairs perfectly with poultry dishes, grilled seafood, and creamy pasta recipes.",Contains sulfites.,,,
