Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Milk Free,Gluten Free,Soy Free,Treenut Free
Oreo Chocolate Sandwich Cookies,$5.79,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75ef74ea-48ed-422e-95b6-662ba81095fa.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_987d0407-a13c-4397-907b-bb8afefba49f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_24e14729-31ef-4860-8b1a-5701268f100a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_23076dca-abd4-430b-b497-315e918299a3.jpg 4x","Take a delicious break with OREO Chocolate Sandwich Cookies. Supremely dunkable, OREO cookies sandwich original OREO creme filling between two Always Made with Real Cocoa chocolate wafers-making them milk's favorite cookie. Original OREO chocolate sandwich cookies are great for serving as a dessert, with ice cream, as party snacks or for packing sweet snacks with lunch at school or work. You can even mix these snack cookies into your favorite dessert recipe or cheesecake recipe for something a little extra special. The resealable pack of OREO cookies with easy-pull tab keeps chocolate cookies fresh and ready to share.,• One 13.29 oz pack of OREO Chocolate Sandwich Cookies (packaging may vary).,• Chocolate wafers Always Made with Real Cocoa and filled with original OREO creme.,• Certified kosher OREO sandwich cookies are supremely dunkable, and are great for mixing into your favorite dessert recipe.,• Whether you TWIST, LICK, or DUNK, OREO cookies are great lunch snacks for adults, office snacks and after-school sweet treats for kids.,• Resealable pack with easy-pull tab keeps snack cookies fresh and is great for snacking, sharing, or traveling.","Unbleached Enriched Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate [vitamin B1], Riboflavin [vitamin B2], Folic Acid), Sugar, Palm Oil, Soybean And/or Canola Oil, Cocoa (processed With Alkali), High Fructose Corn Syrup, Leavening (baking Soda And/or Calcium Phosphate), Salt, Soy Lecithin, Chocolate, Artificial Flavor","For best when used by information, please see date printed on package.","Contains: wheat, soy.",,,,,
"Old El Paso Taco Dinner Kit, Hard & Soft",,$6.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62003e9b-2772-4b8a-8f1d-6d39be0473b6.jpg 4x,"Do you prefer soft or crunchy tacos? Well, there's no need to choose with Old El Paso Hard & Soft Taco Dinner Kits. Each box comes with six flour tortillas, six crunchy taco shells, taco seasoning and taco sauce. Dinner can be ready in about 20 minutes, making these Old El Paso taco kits perfect for any busy evening. Tonight, we taco!,For more than 80 years, Old El Paso has been bringing families and communities together to celebrate old and new traditions around delicious, Mexican-inspired flavors. We believe that any night can be a taco night, and we’re here to help make it a little easier and a lot more delicious. Our variety of crispy hard taco shells, tasty soft tortillas, flavorful seasonings, and much more help make taco night fun.,• COMPLETE TACO DINNER KIT: Dinner kit contains hard and soft taco shells, taco sauce and seasoning mix,• MEXICAN-STYLE ENTREES: Add your favorite ingredients to make delicious tacos in minutes,• AMAZING TASTE: This kit is bursting with flavorful ingredients that are seasoned to Old El Paso perfection,• QUICK AND EASY: Ready in about 20 minutes, these kits are perfect for any busy night,• ENDLESS OPTIONS: Explore all our Old El Paso products for delicious meal options,• BOX TOPS FOR EDUCATION PARTICIPATING PRODUCT: Give back to schools with Old El Paso. Download the Box Tops App to learn more & start earning cash for schools in need today.","Flour Tortillas - Flour Tortillas: Enriched Flour Bleached (wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Palm Oil, Glycerin. Contains 2% Or Less Of: Baking Powder (sodium Aluminum Phosphate, Baking Soda), Mono And Diglycerides, Salt, Potassium Sorbate, Calcium Propionate (preservatives), Fumaric Acid, Hydrogenated Vegetable Oil (soybean, Palm, And/or Cottonseed Oil), Dough Conditioner (salt, Wheat Starch, Enzymes), Taco Sauce: Water, Tomato Paste. Contains 2 % Or Less Of: Sugar, Salt, Modified Corn Starch, Distilled Vinegar, Spice, Sea Salt (potassium Magnesium Chloride, Salt), Citric Acid, Garlic Powder, Onion Powder, Chili Pepper,taco Shells - Taco Shells: Limed Corn Flour, Palm Oil, Salt, Seasoning Mix: Chili Pepper, Corn Starch, Salt, Onion Powder, Maltodextrin, Spice, Sea Salt (potassium Magnesium Chloride, Salt). Contains 2% Or Less Of: Vegetable Oil (canola Oil And/or Soybean Oil), Silicon Dioxide (anticaking Agent), Citric Acid, Sugar, Natural Flavor","For food safety and quality, follow the cooking directions. Make 12 tacos in 4 easy steps. You will Need: 1 lb lean ground beef and 3/4 cup water. 1. Cook beef in 10-inch skillet over medium-high heat 6 to 7 minutes, breaking up and stirring; drain. Stir in water and Seasoning Mix; heat to boiling. Reduce heat, Simmer uncovered 3 to4 minutes, stirring often, until thickened. 2. Unwrap taco shells. To heat in oven, place shells on cookie sheet and pull apart slightly. Bake at 325 degrees F for 6 to 7 minutes until crisp. (To heat in microwave, place shells on microwavable plate. Fan out, overlapping slightly. Microwave on high 45 seconds until warm). 3. Remove tortillas from bag. To heat in Microwave, place stak of tortillas on microwavable plate. Cover with microwavable paper towel. Microwave on high 30 to 45 seconds until warm. (To heat in oven, wrap tortillas in foil; place on cookie sheet. Bakeat 325 degrees F for 10 minutes until warm.). 4. Spoon beef filling into taco shells and onto tortillas. Top with desired toppings and taco sauce.,Refrigerate leftovers.",Flour Tortillas: Contains wheat ingredients. Taco Shells: Contains wheat ingredients.,Milk Free,,,,
"Old El Paso Stand 'N Stuff Taco Shells, Gluten Free",$2.29,$4.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8e4849f6-5be1-4bff-ab9b-5f5d78658452.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_987b86ed-3e48-411a-b2df-2b0ee140cc34.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_392b8a29-fc9e-4de1-841a-3d854cf4cb9c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_240ac2fc-cf31-4084-a995-cdc1fb2da871.png 4x","Make taco night a stand'n invitation with Old El Paso Stand 'N Stuff Crunchy Taco Shells. Stand 'N Stuff Shells have a flat bottom so they stand up on their own. Fill these gluten-free taco shells up with your favorite meats, cheeses, beans and fresh toppings for a taco fiesta.,For more than 80 years, Old El Paso has been bringing families and communities together to celebrate old and new traditions around delicious, Mexican-inspired flavors. We believe that any night can be a taco night, and we’re here to help make it a little easier and a lot more delicious. Our variety of crispy hard taco shells, tasty soft tortillas, flavorful seasonings, and much more help make taco night fun.,• MAKE TACO NIGHT A STAND'N INVITATION: Old El Paso Stand 'N Stuff shells have a flat bottom so they stand up on their own,• GLUTEN-FREE TACO SHELLS: 10-count box of crunchy taco shells made with just three ingredients,• FLAT BOTTOM, EASY TO FILL: Fill the space in these taco shells with all your favorite taco toppings,• QUICK AND EASY: Heat in the oven at 325° F for 6-7 minutes for maximum crunch,• ENDLESS OPTIONS: Explore more Old El Paso products for delicious meal options,• BOX TOPS FOR EDUCATION PARTICIPATING PRODUCT: Give back to schools with Old El Paso. Download the Box Tops App to learn more & start earning cash for schools in need today.","Limed Corn Flour, Palm Oil, Salt","Oven Directions: Unwrap shells; place on cookie sheet and pull apart slightly. Bake at 325 degrees F for 6 to 7 minutes until crisp. Microwave Directions: Unwrap shells; place on microwavable plate. Fan out, overlapping slightly. Microwave on high 45 seconds until warm. Do not heat taco shells in toaster oven due to possible risk of fire. Seal leftover taco shells in food-storage plastic bag or container.",Do not heat taco shells in toaster oven due to possible risk of fire.,Gluten Free,,,,
Old El Paso Stand 'N Stuff Bold Nacho Cheese Flavored Taco Shells,,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b5dc60ab-5386-4782-93cb-771877e75b60.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_71d70e71-4cd5-437f-b449-b6b6fea6e17b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f3955e73-21f5-4f59-9568-aa0f2e6d3066.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f9c2ab60-65d4-40bd-9781-35bee51f3040.png 4x","Make taco night a stand'n invitation with Old El Paso Stand 'N Stuff Bold Nacho Cheese Flavored Crunchy Taco Shells. Stand 'N Stuff Shells have a flat bottom so they stand up on their own. Now, taco night is even more fun with bold nacho cheese flavored shells. Fill them up with your favorite meats, cheeses, beans and fresh toppings for a flavor fiesta.,For more than 80 years, Old El Paso has been bringing families and communities together to celebrate old and new traditions around delicious, Mexican-inspired flavors. We believe that any night can be a taco night, and we’re here to help make it a little easier and a lot more delicious. Our variety of crispy hard taco shells, tasty soft tortillas, flavorful seasonings, and much more help make taco night fun.,• MAKE TACO NIGHT A STAND'N INVITATION: Old El Paso Stand 'N Stuff shells have a flat bottom so they stand up on their own,• FLAVOR FORWARD: Gluten-free taco shells are coated with bold nacho cheese flavor to spice up taco night,• FLAT BOTTOM, EASY TO FILL: Fill the space in these taco shells with all your favorite taco toppings,• QUICK AND EASY: Heat in the oven at 325° F for 5-6 minutes for maximum crunch,• ENDLESS OPTIONS: Explore more Old El Paso products for delicious meal options,• BOX TOPS FOR EDUCATION PARTICIPATING PRODUCT: Give back to schools with Old El Paso. Download the Box Tops App to learn more & start earning cash for schools in need today.","Limed Corn Flour, Water, Palm Oil, Contains 2% Or Less Of: Maltodextrin, Salt, Whey, Monosodium Glutamate, Buttermilk*, Garlic*, Tomato*, Spice, Onion*, Citric Acid, Reduced Lactose Whey, Enzyme Modified Cheddar Cheese* (milk, Cultures, Salt, Enzymes), Natural And Artificial Flavor, Paprika Extract, Disodium Inosinate And Disodium Guanylate, Cheddar Cheese* (cultured Milk, Salt, Enzymes), Colors (yellow 5 Lake, Yellow 6, Red 40 Lake), Sodium Phosphate, Freshness Preserved By Sodium Benzoate, *dried","Start your oven 325 degrees F 5 to 6 minutes. Oven Directions: (Preferred Method): Heat oven to 325 degrees F. Unwrap shells; place on cookie sheet and pull apart slightly. Bake 5 to 6 minutes until crisp. (For extra crispness, bake 1 to 2 minutes longer. Watch carefully so shells do not become too brown). Microwave Directions: Unwrap shells; place on microwavable plate. Fan out, overlapping slightly. Microwave on High 30 to 45 seconds until warm. Let stand 1 minute. Note: Unheated shells will be chewy. Do not heat taco shells in toaster oven due to possible risk of fire. Store leftover taco shells in resealable food bag or container.",Contains milk ingredients.,Gluten Free,,,,
Thomas’ Original English Muffins 6 Pack,,$5.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ec937f9-8956-498d-bfea-f5ffc491d105.png 4x,"Breakfast tastes better, thanks to Thomas’ Original English Muffins. These English Muffins feature the Nooks & Crannies texture you love with a great taste for an irresistible quick breakfast. Thomas' English Muffins are always made with no high fructose corn syrup and are a cholesterol free food. Toast and top this sweet English Muffin with your favorite jam or preserves for an easy breakfast. Add cheese and pepperoni to this English Muffin for a personal pizza. Put cream cheese on these English muffins or add eggs and cheese for a tasty breakfast sandwich. Any way you enjoy these fork split English Muffins, the texture and hearty flavor make for a delicious bite you and your family will love. Start your day the right way with Original English Muffins from the breakfast food brand with more than 140 years of experience, beginning with the original Nooks & Crannies English Muffins. Thomas’ delivers delicious tastes for a breakfast like no other.","Enriched Wheat Flour [flour, Malted Barley Flour, Reduced Iron, Niacin, Thiamin Mononitrate (vitamin B1), Riboflavin (vitamin B2), Folic Acid], Water, Farina, Yeast, Salt, Sugar, Calcium Propionate And Sorbic Acid (to Preserve Freshness), Vegetable Oil (soybean), Wheat Gluten, Grain Vinegar, Soy Lecithin, Soy, Whey","Split: using a fork or your hands, gently split the english muffin in half.toast**: choose your desired toaster setting.top: spread on your favorite toppings and enjoy!**toast to a light brown, not a dark brown.","Contains wheat, soy, milk.,made in a bakery that may also use tree nuts.",,,,,
"Thomas’ 6 count, Plain Pre-sliced Bagels",,$6.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b120b489-7523-443c-b886-fd910cfb0e86.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c8f94f2a-0b24-4c30-817b-c9802bd57267.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_42f9480b-dc87-4859-9551-65e9dad509fd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_492f3d78-97fc-4e37-9632-153baa36cd48.png 4x","Start your day off right with Thomas’ Plain Bagels. These sliced bagels are crispy on the outside and soft and chewy on the inside with taste beyond compare. Thomas’ bagels are made with no high fructose corn syrup. These bagels are pre sliced, making them a convenient and versatile choice for breakfast or as an on the go snack. Toast and add your favorite topping, load one up with eggs, cheese and bacon for a breakfast sandwich worthy of a weekend brunch, or top with sauce and cheese for scrumptious pizza bagels. Out of the bag or out of the toaster, Thomas’ pre sliced bagels are a breakfast food you and your family will love. Start your day the right way with bagels from the breakfast food brand with more than 140 years of experience, beginning with the original Nooks & Crannies English muffins. Thomas’ delivers delicious tastes for an easy breakfast like no other.","Enriched Wheat Flour [flour, Malted Barley Flour, Reduced Iron, Niacin, Thiamin Mononitrate (vitamin B1), Riboflavin (vitamin B2), Folic Acid], Water, Sugar, Yeast, Wheat Gluten, Salt, Cornmeal, Calcium Propionate And Sorbic Acid (to Preserve Freshness), Monoglycerides, Citric Acid, Guar Gum, Vegetable Oil (soybean), Soy Lecithin, Sesame Seeds",Www.thomasbreads.com,"Contains wheat, soy, sesame.,made in a bakery that may also use milk, egg, tree nuts.",,,,,
Mission Taco Tortillas,,$4.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5c930a71-4538-4f78-aae9-e0aad77f476b.png 4x,"As versatile as they are delicious, Mission Soft Taco Flour Tortillas help adventurous home cooks whip up countless new recipes. Our flour tortillas aren’t just soft—they’re super-soft—and this texture makes them a welcome addition to any meal. So gather friends around the dinner table and treat them to some traditional tacos, or change it up and fill the tortillas with steak and eggs for breakfast. Our soft taco tortillas also don’t contain any trans fat or cholesterol, so they’re sure to become a go-to staple in your pantry. Includes one 10-count package of Mission Soft Taco Flour Tortillas.","Enriched Bleached Flour (flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening (interesterified And Hydrogenated Soybean Oils), Contains 2% Or Less Of: Salt, Sugar, Baking Soda, Sodium Acid Pyrophosphate, Distilled Monoglycerides, Fumaric Acid, And Calcium Propionate And Sorbic Acid (to Maintain Freshness)","Heating: Tortillas may be heated on a skillet or electric griddle, on the grill, or in the microwave. For best results, heat tortillas on an ungreased skillet over medium-high heat for 10 to 15 seconds. Flip and heat for another 5 to 10 seconds. Microwave: Place 4 to 6 tortillas between two damp paper towels. Microwave 30 to 45 seconds or until heated through. Wrap in a cloth or tortilla keeper until ready to serve. For freshness, refrigerate after opening.",Contains: wheat.,,,,,
Mission 10 Inch Burrito Tortillas,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a272c720-d0bb-41c9-902b-20491b161757.png 4x,"Mission Burrito Flour Tortillas have a freshly baked taste and super-soft texture that makes them the perfect addition to any of your favorite recipes. Our 10-inch tortillas are just the right size for making overstuffed burritos, but they're versatile enough to use for everything from quesadillas to fajitas. And since our flour tortillas are made with absolutely no trans fat or cholesterol, you can feel good about serving them to your family and friends. We recommend loading our tortillas with scrambled egg, sausage, and cheese for a tasty—and hearty—breakfast. Includes one 8-count package of Mission Burrito Flour Tortillas.","Enriched Bleached Flour (flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening (interesterified And Hydrogenated Soybean Oils), Contains 2% Or Less Of: Salt, Sugar, Baking Soda, Sodium Acid Pyrophosphate, Distilled Monoglycerides, Fumaric Acid, And Calcium Propionate And Sorbic Acid (to Maintain Freshness).","Heating: Tortillas may be heated on a skillet or electric griddle, on the grill, or in the microwave. For best results, heat tortillas on an ungreased skillet over medium-high heat for 10 to 15 seconds. Flip and heat for another 5 to 10 seconds. Microwave: Place 4 to 6 tortillas between two damp paper towels. Microwave 30 to 45 seconds or until heated through. Wrap in a cloth or tortilla keeper until ready to serve. For freshness, refrigerate after opening.",Contains: wheat,,,,,
Nature's Own Honey Wheat Bread,,$5.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8a93685d-35dc-40bb-acc6-27feefe89c28.png 4x,"Taste the perfectly soft wheat bread sweetened with a touch of honey, and you'll know why Nature's Own® Honey Wheat Bread is the #1 selling loaf of bread in the United States.* Each slice of this sandwich bread contains no artificial preservatives, colors or flavors; no high fructose corn syrup; and no cholesterol. Plus, with 0 grams of trans fat per serving, Nature's Own Honey Wheat is a low-fat food and the perfect sliced bread option for sandwich and toast recipes. Quickly put together a school lunch or plan an impromptu picnic, or you can pair this honey sweetened bread with your favorite deli meats or classic peanut butter and jelly. Pile on the goodness and bring everyone together with Nature's Own breads, buns and rolls.,At Nature's Own, we believe that anything worth doing is worth doing right. It's a standard applied to each and every product that makes its way out of Nature's Own bakeries. Choose from a variety of bread flavors and styles to fit whatever sandwich you have in mind. As America's #1 selling loaf bread brand*, Nature's Own maintains the freshness and softness that makes it a family favorite bread with no artificial preservatives, colors or flavors, and no high fructose corn syrup. Goodness is in our nature.,*Source: Circana Syndicated Data for the total U.S. latest 52 weeks ending 8.11.2024.,• You'll get one 20 oz loaf of Nature's Own Honey Wheat Bread,• Soft wheat bread slices lightly sweetened with a touch of honey,• No artificial preservatives, colors or flavors, and no high fructose corn syrup,• Pair this sandwich bread with honey ham or classic peanut butter and jelly,• Pile on the goodness with Nature's Own sliced breads, buns and rolls,• Manufactured on shared equipment that also processes products containing sesame; may contain sesame,• For the most accurate and updated ingredient info, always check the ingredients label on the actual product","Unbleached Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Whole Wheat Flour, Honey, Wheat Gluten, Sugar, Wheat Bran, Contains 2% Or Less Of Each Of The Following: Yeast, Cultured Wheat Flour, Salt, Soybean Oil, Soy Flour, Calcium Sulfate, Monoglycerides, Enzymes, Monocalcium Phosphate, Soy Lecithin, Ascorbic Acid, Niacin, Reduced Iron, Thiamin Mononitrate (vitamin B1), Riboflavin, Folic Acid, Calcium Carbonate",{},"Contains: wheat, soy. Manufactured on shared equipment that also processes products containing sesame. May contain sesame.",,,,,
Dave's Killer Bread Organic 21 Whole Grains Bread,,$7.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0d6a749a-5f28-40fd-b835-5de1c3b3e23c.png 4x,"Dave's Killer Bread® 21 Whole Grains & Seeds bread loaf is USDA organic bread with killer taste and texture sure to amplify your next sandwich or toast creation. Each Non-GMO Project Verified whole grain bread slice is coated in Dave's signature 21 Whole Grains and Seeds mix, giving you the hearty texture and subtle sweetness you love. 5g fiber, 260mg ALA Omega-3 and 22g whole grains per slice. Dave's Killer Bread® has no high-fructose corn syrup, no artificial preservatives and no artificial ingredients. You can trust Dave's Killer Bread® to deliver killer taste, texture and whole grain nutrition. 21 Whole Grains & Seeds sliced bread is our #1 selling loaf and just what you need for sandwiches, toast or snacks.,The story of Dave’s Killer Bread® began at the Portland Farmers Market, when Dave Dahl and his nephew brought some loaves of Dave's bread to sell. For Dave, this marked the beginning of a new chapter in his life. Though he grew up in a family of bakers, his life took a different path. A path that landed him in prison for 15 years. Determined to prove his worth and make a positive impact, Dave worked tirelessly to bake breads that tasted unlike anything else on the market — packed with seeds and grains, made with only the very best organic and Non-GMO Project Verified ingredients. Dave’s Killer Bread® believes everyone is capable of greatness. One in three of the company's employee partners at their Milwaukie, OR bakery has a criminal background—but your past doesn't define your future. As a proud Second Chance Employer, Dave’s Killer Bread® truly believes everyone deserves a second chance to become a Good Seed.,• You'll get a 27 oz loaf of Dave's Killer Bread 21 Whole Grains & Seeds,• 5g fiber, 260mg ALA Omega-3 and 22g whole grains per slice,• Dave's Killer Bread® 21 Whole Grains & Seeds sandwich bread has a hearty texture, subtle sweetness and a seed-coated crust,• Dave's Killer Bread® is Non-GMO Project Verified and USDA organic, plus has no high-fructose corn syrup, artificial preservatives or artificial ingredients,• America’s #1 Organic Bread**Circana Latest 52wks ending 1/21/2024,• You can trust Dave's Killer Bread® to deliver killer taste, texture and whole grain nutrition","Organic Whole Wheat (organic Whole Wheat Flour, Organic Cracked Whole Wheat), Water, 21 Whole Grains And Seeds Mix (organic Whole Flax Seeds, Organic Sunflower Seeds, Organic Ground Whole Flax Seeds, Organic Un-hulled Brown Sesame Seeds, Organic Rolled Oats, Organic Triticale, Organic Pumpkin Seeds, Organic Un-hulled Black Sesame Seeds, Organic Rolled Spelt, Organic Millet, Organic Rolled Barley, Organic Rolled Rye, Organic Blue Cornmeal, Organic Brown Rice Flour, Organic Yellow Cornmeal, Organic Quinoa, Organic Rolled Kamut Khorasan Wheat, Organic Amaranth Flour, Organic Rolled Whole Wheat, Organic Buckwheat Flour, Organic Sorghum Flour, Organic Poppy Seeds), Organic Dried Cane Syrup (sugar), Organic Wheat Gluten, Organic Oat Fiber, Organic Molasses, Sea Salt, Organic Cultured Whole Wheat, Yeast.",{},Contains: wheat. Manufactured in a facility that uses tree nuts and dairy.,,,,,
