Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Highlights,Milk Free,Warnings,"Fresh, plump, and bursting with flavor, Naturipe Blueberries are a must-have for any fruit lover. Packed in an 18 oz bag, these blueberries are the perfect addition to your morning smoothie, afternoon snack, or dessert topping. Not only are they delicious, but they're also vegan and vegetarian-friendly! These little powerhouses of nutrition are loaded with antioxidants and vitamin C to help support a healthy immune system. With Instacart's same-day delivery or pickup, you can enjoy these tasty treats without ever leaving your home. Simply add Naturipe Blueberries to your next order and enjoy their sweet goodness in no time!",Gluten Free,"Say hello to Sunset Sugar Bombs! These delightful Grape Tomatoes On-The-Vine are perfect for a variety of dishes. They're vegan and vegetarian, so you can enjoy them regardless of your dietary restrictions. Each 12oz container is packed with juicy, sweet tomatoes that burst with flavor in every bite. Whether you're making a salad, cooking up a storm, or simply enjoying a snack, these Sugar Bombs will satisfy your cravings. With Instacart's same-day delivery or pickup, you can have these beauties at your doorstep in no time. So why wait? Go ahead and add Sunset Sugar Bombs to your next shopping list today!"
"Fresh Express Salad, American",$3.49,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b27b7fd2-c40e-44c2-917d-2ebc4f7a98c8.jpeg 4x,"Thoroughly washed. Ready to eat. Why We're so Fresh: To guarantee Fresh Express Salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salad daily.,• No Preservatives/No Artificial Preservatives,• Fruits & Vegetables","Iceberg Lettuce, Romaine Lettuce, Carrots, Red Cabbage, Radishes",Keep refrigerated.,,,,,,
Pink Lady Apple,,$0.80, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_96677d46-fd1b-479d-85a7-3851a6b5a080.png 4x,,,,,,,,,
Fresh Express Hearts of Romaine,$3.49,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_10391652-f159-4a59-90e7-63c57848e45b.jpeg 4x,"Guaranteed fresh. Thoroughly washed. Ready to eat. Why We're So Fresh: To guarantee fresh express salads are consistently, deliciously fresh, We: cool our salads within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salads daily. No preservatives.,• No Preservatives/No Artificial Preservatives",Romaine Lettuce,Keep refrigerated.,,,,,,
Fresh Express Baby Spinach,$3.49,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_587b8bff-2c65-42c0-b766-925d86d91e96.jpeg 4x,"Thoroughly washed. Ready to eat. Baby Spinach is a good source of Vitamin A, Vitamin C, Vitamin K, folate & manganese. Vitamin A contributes to the maintenance of normal vision. Folate contributes to normal maternal tissue growth during pregnancy. Vitamin C contributes to normal collagen formation and the normal function of bones, teeth, cartilage, gums, skin and blood vessels. Vitamin K contributes to maintenance of normal bone. Low fat diets rich in fruits and vegetables (foods that are low in fat and contain vitamin A, vitamin C and dietary fiber) may reduce the risk of some type of cancer, a disease associated with many factors. Why we're so fresh: To guarantee Fresh Express Salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salad daily. Fruits & veggies more matters.,• Excellent source of vitamin A, vitamin C, vitamin K, folate & manganese. No preservatives.,• No Preservatives/No Artificial Preservatives",Baby Spinach.,Reseal for freshness. Keep refrigerated.,,,,,,
White Seedless Grapes,$5.69,$6.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_28a8dd52-2302-4528-a19e-2d93dc6b2249.jpg 4x,,,,,,,,,
Spaghetti Squash,,$1.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62bf4546-5608-4890-8cae-1c2a8f674c8e.png 4x,,,,,,,,,
"Fresh Express Salad, Spring Mix",$3.49,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9179498e-08b3-43cb-a0fd-5be81cc617ec.jpeg 4x,"Thoroughly washed. Read to eat. Why we're so fresh: To guarantee fresh express salad kits are consistently, deliciously fresh, we: Cool our lettuces within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salad daily. Ingredients may vary. Fruits & veggies more matters.,• Mix of baby lettuces & greens.,• No Preservatives/No Artificial Preservatives","Green Romaine Lettuce, Green Leaf Lettuce, Tango Lettuce, Green Oak Lettuce, Lollo Rossa Lettuce, Radicchio, Red Romaine Lettuce, Red Leaf Lettuce, Red Oak Lettuce, Spinach, Mizuna, Arugula, Beet Tops, Butter Lettuce, Chard, Kale, Pak Choi, Tatsoi, Endive, Frisee.",Reseal for freshness. Keep refrigerated.,,,,,,
Cilantro Bunch,,$1.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_85bfd5d9-5aa4-4712-8c02-af7ce8fccee3.png 4x,,,,,,,,,
Zespri SunGold Kiwifruit,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a41db7cd-463d-4521-86a5-f238b4f68526.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e00f1daa-1c59-4665-9e04-cc967ca82d51.jpg 4x","-Shake up your fruit bowl with sweet and refreshing Zespri SunGold Kiwifruit!,-Packed full of nutrients - Zespri SunGold Kiwifruit provides 100% of your daily Vitamin C needs in one fruit and have a low glycemic index.,-Easy to eat! Just cut in half, scoop with a spoon and enjoy! Eat on its own as a snack or add to yogurt and oatmeal to give your breakfast a healthy boost. For recipes, tips, news and more visit Zespri.com.,-Ripe kiwi should yield to slight pressure like a peach or avocado. Zespri SunGold Kiwi tastes sweeter as it gets softer. Once ripe, keep in fridge to keep it maintain freshness.,-Zespri is owned by 2500 growers dedicated to perfecting their craft of growing kiwifruit for over 25 years. Look for the Zespri brand for consistent quality and superior flavor in kiwifruit.",Kiwifruit.,{},,,,,,
Wonderful Seedless Lemons Seedless Lemons,,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_85616658-dbc8-41eb-923a-dd4987d780f5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c3fe0a04-379b-4002-abd3-90f05e8e0e2f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8fd84752-075f-40aa-b225-5c4f58907e44.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_83143f10-5f53-4c33-b8b1-9a419cdb4baf.png 4x","Juicy and flavorful, Wonderful Seedless Lemons are premium Non-GMO Project Verified naturally seedless lemons. Great for cooking, baking, and mixing into all your favorite cocktails and mocktails, Wonderful Seedless Lemons are everything you love about traditional lemons, minus the pesky little seeds.,• ALL SQUEEZE, NO SEEDS: juicy, fresh, and flavorful, minus the pesky little seeds,• EASY PEASY: Squeeze and slice into dishes without the hassle of removing seeds,• NON-GMO PROJECT VERIFIED: Premium naturally seedless lemons,• SWEET SIPPIN’: Mixing up cocktails, mocktails, tea, and lemonade made easy, and no seeds,• PACK SIZE: 1lb",Naturally Seedless Lemons,{},Milk Free,,,,,
Jicama,,$3.72, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8bf75aba-50cc-4caf-ab63-a69379c0c51e.png 4x,,,,,,,,,
Chayote,,$0.94,,,,,,,,,,
Golden Delicious Apple,,$1.71, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e13957c8-4769-4f9a-ba56-880d9ce4f8ae.jpg 4x,,,,,,,,,
Rutabaga,,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dd28df41-b21b-443e-8f9e-3269c4a1687e.png 4x,Fresh Rutabagas,,,,,,,,
Radish Bunch,,$2.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bacfd702-08b6-4f8f-a1fd-297348230113.jpeg 4x,,,,,,,,,
Red Seedless Grapes Bag,$5.69,$6.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f1e62a9-3d61-4f5f-8f71-f51d61cf8cec.jpg 4x,,,,,,,,,
Mini Watermelon,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bec25cd1-281e-4f3d-8702-305c84b81823.jpeg 4x,,,,,,,,,
Shallot,,$0.54, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5208269d-6240-4bda-afba-cff690c9a8ed.png 4x,,,,,,,,,
Organic Girl 50/50!,,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ba8a9890-4083-4a76-bf5e-a64dd6c6941e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8bc39802-ba20-4f4e-a2c0-bc419ace8cf9.jpg 4x","50% spring mix and 50% baby spinach – this blend creates the perfect mix!,• USDA organic,• Excellent source of vitamin K,• Excellent source of vitamin C","Baby Spinach, Tango, Baby Red Oakleaf Lettuce, Baby Green Oakleaf Lettuce, Baby Red Chard, Baby Green Chard, Lolla Rosa, Arugula, Mizuna, Baby Bok Choy, Tatsoi, Baby Greenleaf Lettuce, Baby Redleaf Lettuce, Baby Red Butter. Ingredients May Vary By Season.",Please keep refrigerated & use within 2-3 days of opening.,,,,,,
Red Leaf Lettuce,,$2.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7de784ef-df74-49d3-ad07-118122dca40d.png 4x,,,,,,,,,
Spinach Bunch,,$1.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5a72df4c-8898-4e76-bb64-e7c74f3b01cb.png 4x,,,,,,,,,
Granny Smith Apple Bag,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c81d0824-4299-4d92-9224-a4d0bb0e63e7.jpg 4x,,,,,,,,,
Leek,,$5.01,,,,,,,,,,
"Deli Coleslaw, 3 Color, Americas Fresh, Garden",,$2.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_944f499c-535f-44a9-81db-ed2976968880.jpeg 4x,"Thoroughly washed. Ready to eat. No preservatives. Fruits & veggies more matters. America's Fresh 3 color deli coleslaw 14 oz. Why We're So Fresh: To guarantee Fresh Express Salads are consistently, deliciously fresh, we. Cool our salads within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salad daily.,• No Preservatives/No Artificial Preservatives","Green Cabbage, Carrots, Red Cabbage.",Keep refrigerated.,,,Contains: egg.,,,
Envy Apple,,$1.50, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_be914a51-ab95-46ee-b1ae-26be22d8b572.png 4x,,,,,,,,,
"Fresh Express Salad, Caesar, Crunchy Blends",$3.49,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_65c1eff2-0e3f-4f97-9f95-2b4b2e0d91ef.jpeg 4x,"Veggie Lover's is a good source of Vitamin A, Vitamin C, Vitamin K, Vitamin A contributes to the maintenance of normal vision. Vitamin C contributes to normal collagen formation and the normal function of bones, teeth, cartilage, gums, skin and blood vessels. Vitamin K contributes to maintenance of normal bone. Fruits & veggies more matters. Why we're so fresh: To guarantee Fresh Express Salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salad daily.,• No Preservatives/No Artificial Preservatives","Iceberg Lettuce, Carrots, Romaine Lettuce, Pea Pods, Radishes, Red Cabbage",Reseal for freshness. Keep refrigerated.,,,,,,
"For You Radishes Fresh, Bag",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_13706f95-d430-487c-b646-7f6ae4b985a1.PNG 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e2e0ac83-38dc-4eb5-9aad-40b8f502454d.PNG 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9e17adb4-ce13-4a94-ab20-a13c3a319d6a.PNG 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b3b7be79-302d-42a7-83aa-730fb6d9f223.PNG 4x",US No. 1.,Radishes.,,,,,,,
Carrot,,$0.57, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e78178a4-b3e3-46cf-81b4-520f8b69d80f.jpg 4x,"Sun Harvest is our brand of natural and organic products. Sun Harvest Organic products are made with certified USDA organic ingredients, while the Sun Harvest Natural products are free of artificial ingredients, fillers, or manufactured preservatives.",,,,,,,,
Organic Cauliflower,,$4.71, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_237973eb-de3d-42f7-beb9-c57f374920c4.png 4x,,,,,,,,,
Poblano Pepper,,$0.70, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_03ce612f-96d9-4967-bbea-91471bf62334.jpg 4x,,,,,,,,,
"Fresh Express Salad, Leafy Green Romaine, Crunchy Blends",$3.49,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c2912b6d-d035-4934-914e-0b9fd5f3ea55.jpeg 4x,"Thoroughly washed. Ready to eat.Leafy green romaine is an excellent source of vitamin A, vitamin k & folate. Vitamin A contributes to the maintenance of normal vision. Vitamin K contributes to maintenance of normal bone. Folate contributes to normal maternal tissue growth during pregnancy. Why We're so Fresh: To guarantee Fresh Express Salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our Keep-Crisp bag to maintain freshness. Deliver fresh salad daily.,• Fruits & Vegetables",Romaine Lettuce And Green Leaf Lettuce.,Keep refrigerated.,,,,,,
Driscoll's Strawberries,,$9.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_443ebde8-2aaf-4b78-87a5-5b1f01c5274e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4a8b722b-a720-46a4-af3c-437172012d3c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_41015624-f098-45a4-93bb-9d01065dc304.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_98be675f-bd9d-4acc-915e-b38bf0b749b0.jpg 4x","Driscoll's Strawberries are always sweet, juicy and delicious. Enjoy a handful of these berries for a satisfying snack or dip a few in melted chocolate for a light dessert. These fresh strawberries bring joy to any occasion with their dazzling red color and delightful taste. We've been pioneering innovative strawberry farming methods and superior flavor profiles since 1904, so you're sure to taste our signature sweetness in every bite. When you choose Driscoll’s berries, you choose tasty berries that add sweetness to life moments.,Family-owned and operated for over 100 years, Driscoll’s is passionate about growing Only the Finest Berries. Look for Driscoll's Strawberries, Blueberries, Raspberries and Blackberries — fresh berries are all we do!",Strawberries,Keep refrigerated and rinse before use.,,,,,,
Sunset Angel Sweet Tomatoes,,$6.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e7dc146-f4e9-4fa5-9dc7-0ef33ff1af94.jpg 4x,"Sunset® Angel Sweet® Tomatoes.,Greenhouse grown.,Wash & enjoy!,Miraculously sweet tomatoes®.,Product of Canada.,1 US dry pint (551ml).",Cherry Tomatoes,"Wash before eating and do not refrigerate.,Open here.",,,,,,
POM Wonderful Ready-to-Eat Pomegranate Arils,,$5.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67d1befb-3897-4293-81da-89b1b858faff.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_15fd2957-233c-4886-86f2-59904b18da0a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9755d6a8-eba4-44e2-ad3e-5b2e243d633d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7bb0c3fb-e505-452b-ae11-8b19615b9e13.png 4x","Take the sweet, tart taste of pomegranates to go. Known for unique antioxidants, POM Wonderful Pomegranate Arils make a tempting snack and a great addition to any dish,• One cup of 4 oz ready to eat POM Wonderful Pomegranate Arils (also known as pomegranate seeds),• Known for unique antioxidants, take the sweet, tart taste of pomegranates to go, or add them to your favorite dish,• A good source of fiber and vitamin C,• Non-GMO; Certified Kosher,• Gluten Free","Pomegranate Arils, Mushroom Extract (to Protect Quality).",Keep refrigerated.,,,,,,
NatureSweet Glorys Fresh Ingredient Cherry Tomatoes,,$3.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16a24574-d84d-44ec-aaec-7c7046eb1312.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb300c1b-e6a7-4964-b995-b7efe3c3ecc3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5cf6e438-ba3c-4b2f-9ee3-74f8c56deb00.png 4x","NatureSweet Glorys® are the number one cherry tomato in the US. These cherry tomatoes are hand-picked, ideal for cooking in a variety of ways and packed with nutrients.,• Sweet and juicy cherry tomatoes,• Ideal for snacking and cooking,• Fair Trade, Non-GMO and B Corp Certified",Tomatoes.,"Wash me. Please Don't refrigerate. it's too cold in there.,Peel to let us out.",,,,,,
Papaya,,$1.58, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0305412d-5374-46fa-8292-4d294b32e727.jpg 4x,,,,,,,,,
Yellow Nectarine,,$1.02, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_23015e78-45a8-4831-874d-959c8fdcd6c5.png 4x,,,,,,,,,
"The Little Potato Company Potatoes, Fresh Creamer, Garlic Parsley",,$6.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d8baad95-caf1-49ff-b33a-7bd0ef49f9a6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4ecee79d-ac53-4162-9757-4f49e2e942bb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_98546e1b-5c3f-40a6-ac91-19e75036598c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_713d75f9-56a8-4066-82dc-c7cb8c6519c9.png 4x","An exciting blend of leafy parsley and sweet garlic. All you need to do is heat, sprinkle, and eat.,• Ready in 5 minutes,• No peeling, no fuss and always pre-washed,• Grown for you on family farms","Potatoes, Seasoning Pack (salt, Spices, Sugar, Dehydrated Garlic, Dehydrated Onion, Citric Acid (for Tartness))","Remove seasoning pack before cooking. Garlic Parsley Instructions: These potatoes are prewashed and ready to cook. Remove seasoning pack before putting into microwave. 1. Peel back plastic film and remove seasoning pack. 2. Position film to close and place tray in microwave. Cook on high for 5 minutes (cooking times may vary). 3. Let rest for 2-4 minutes in tray, then remove plastic film and stir in seasoning pack. 4. If desired, add 2 tbsp. of butter or oil. Caution: Contents will be hot. Serve and enjoy!",,,,,,
Fresh Express Iceberg Garden Salad Blend,$2.00,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f040253-d9ed-4560-925d-7ba5253f3c5f.jpg 4x,"Guaranteed fresh. Thoroughly washed. Ready to eat. Garden. Fruits & veggies more matters. Why We're So Fresh: To guarantee fresh express salads are consistently, deliciously fresh, we: Cool our lettuces within hours of harvest, and keep them chilled from field to store. Thoroughly rinse and gently dry; Then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salads daily. No preservatives.","Iceberg Lettuce, Carrots, Red Cabbage.",Keep refrigerated.,,,,,,
Fresh Express Lettuce Shreds,$2.00,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d747eb54-8dd5-4aa9-bfc8-1ef6916ecfe7.jpg 4x,"Thoroughly washed. Ready to eat. No preservatives. Why We're so Fresh: To guarantee Fresh Express Salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salad daily.,• Fruits & Veggies More matters.,• No Preservatives/No Artificial Preservatives",Iceberg Lettuce.,Reseal for freshness. Keep refrigerated.,,,,,,
Mini Watermelon,,$5.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_08912e85-3e54-4900-b1e6-296ba3c4221a.png 4x,,,,,,,,,
Turnip,,$1.17, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f1ab7e7-27f8-47fe-a728-abd2141b91d6.png 4x,,,,,,,,,
Libby's Diced Carrots Lightly Seasoned with Sea Salt,,$2.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_61b2bf8b-8c7c-4e56-b6f9-50d57e7f4ba9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a3d802d7-b616-4184-9911-658ec62bf24d.png 4x","Vegetables in single-serve cups, a new idea whose time has come! Now get your tasty, healthy veggies on the go, in lunch boxes, for picnics...anywhere!","Ingredients: Water, Carrots, Sea Salt, Ascorbic Acid.",Microwave to heat or serve at room temperature. Heating Instructions: Lift corner of lid slightly to vent. Heat in microwave on high for 25-30 seconds. Allow to cool 15 seconds before removing.,,,,,,
Organic Blackberries,,$6.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8b2a852c-0893-4222-9804-42ba44217ab0.jpg 4x,,,,,,,,,
Earthbound Farm Organic Romaine Hearts,,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_14da33d8-7688-432c-807a-d3170b53feff.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87bdbfda-a75c-429d-b137-3a75a9c6fa0a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_03dafc49-54dd-49f7-b226-f37585b2e4a3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f54f647-61fe-48b0-9b12-a481cd943405.png 4x",Earthbound Farm® Organic Romaine Hearts 12 oz. Pack,Organic Hearts Of Romaine,Keep refrigerated.,,,,,,
Pomegranate,,$6.76, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6efd508a-6c5c-46ae-afdf-77d2c9921e05.jpg 4x,,,,,,,,,
Driscoll's Organic Raspberries,,$9.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62eea826-a4e1-4b77-8448-ea9011dc27c6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bc28f940-a32c-4fb1-8a2f-1ac2c10041b4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5680a304-2f24-46b2-9a3c-b7fe37bd4348.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d71d9c3-16bc-4517-9858-61955662000b.jpg 4x","Driscoll's Organic Raspberries have the perfect flavor combination of sweet and tart, making them the most satisfying fruity snack. Add a delicious pop of color to salads, smoothie bowls and frozen yogurt with just one or two handfuls of fresh raspberries. Our certified organic berries will bring pure happiness to all your everyday moments. We review thousands of raspberry seedlings annually, to identify varieties that live up to our high standards. When you choose Driscoll's berries, you choose consistent quality and sweeter life moments.,Family-owned and operated for over 100 years, Driscoll’s is passionate about growing Only the Finest Berries. Look for Driscoll's Strawberries, Blueberries, Raspberries and Blackberries — fresh berries are all we do",Raspberries,Keep refrigerated and rinse before use.,,,,,,
Beet,,$4.60, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5cd73ae6-1995-4183-8716-56a28a7c1668.jpg 4x,,,,,,,,,
Broccoli,,$4.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ccc6bad3-0d64-43a9-ae7a-b0cd7f69e144.jpg 4x,,,,,,,,,
Black Plum,,$1.36, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0a36e44a-0ddd-4be9-8b2d-898e111b567f.jpg 4x,,,,,,,,,
First Street Baby Carrots,,$1.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_969b31a7-2fe7-42c2-aac3-0fcf77563df3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_abbcbde7-3237-44ae-9429-5446f7976e42.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d8d31843-c365-43b8-9875-552276d18102.jpg 4x","When you work sun up to sun down like we do, it’s tough to find time for a snack. We cut these so you can perfectly enjoy a crunchy, delicious treat, filled with Vitamin A, wherever you go.",Carrots,Perishable. Keep refrigerated.,,,,,,
Radicchio,,$4.37, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e19ce345-117d-498a-b870-014916e6f444.jpeg 4x,,,,,,,,,
Tomato,,$2.08, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5319d10e-1707-4d6f-9f56-08c84c84e69d.jpg 4x,,,,,,,,,
NatureSweet Cherubs Grape Tomatoes,,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d4083307-439f-46bb-9691-52448b0ab97a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d58e6356-aedc-4e8f-8149-9a33b5b7f1bb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ad0cd2f-5e10-464e-afc4-a5c756af6731.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_800de37c-3a1c-4d27-b75f-7be78ed4035e.png 4x","NatureSweet Cherubs are the sweetest grape tomatoes on the market. In fact, they are the number one-selling small tomato in the world! Carefully grown in greenhouses and hand-picked at the peak of ripeness, they are guaranteed to be fresh and flavorful every time.,• Sweet and juicy grape tomatoes,• Ideal for salads and snacking,• Fair Trade, Non-GMO and B Corp Certified",,"Wash me.,Please don't refrigerate. It's too cold in there.",,,,,,
